"Region Code","TEA Region","County Code","County Name","Gender","8th Grade (FY 2006)","Enrolled in 9th Grade (FY 2007)","% Enrolled in 9th Grade (FY 2007)","Enrolled in 10th Grade(FY 2008)","% Enrolled in 10th Grade (FY 2008)","Enrolled in <10th Grade (FY 2008)","% Enrolled in <10th Grade (FY 2008)","High School Graduate FY 2009-2011","% High School Graduate FY 2009-2011","Enrolled TX 4-year","% Enrolled TX 4-year","Enrolled TX 2-year","% Enrolled TX 2-year","Enrolled in Higher Education","% Enrolled in Higher Education","No Public HS Grad Record Enrolled in Higher Ed","% No Public HS Grad Record Enrolled in Higher Ed","Higher Ed Degree or Certificate Texas","% Higher Ed Degree or Certificate Texas"
16,Amarillo,096,HALL,Male,30,28,93.33%,28,93.33%,0,0.00%,24,80.00%,7,23.33%,3,10.00%,10,33.33%,0,0.00%,7,23.33%
16,Amarillo,098,HANSFORD,Female,41,40,97.56%,41,100.0%,0,0.00%,36,87.80%,14,34.15%,13,31.71%,27,65.85%,0,0.00%,14,34.15%
16,Amarillo,098,HANSFORD,Male,53,53,100.0%,52,98.11%,1,1.89%,49,92.45%,16,30.19%,11,20.75%,27,50.94%,0,0.00%,10,18.87%
16,Amarillo,103,HARTLEY,Female,,,,,,,,,,,,,,,,,,,
16,Amarillo,103,HARTLEY,Male,,,,,,,,,,,,,,,,,,,
16,Amarillo,106,HEMPHILL,Female,30,28,93.33%,26,86.67%,3,10.00%,21,70.00%,8,26.67%,8,26.67%,16,53.33%,1,3.33%,8,26.67%
16,Amarillo,106,HEMPHILL,Male,19,17,89.47%,14,73.68%,3,15.79%,13,68.42%,4,21.05%,2,10.53%,6,31.58%,0,0.00%,4,21.05%
16,Amarillo,117,HUTCHINSON,Female,153,138,90.20%,127,83.01%,3,1.96%,109,71.24%,21,13.73%,67,43.79%,88,57.52%,10,6.54%,37,24.18%
16,Amarillo,117,HUTCHINSON,Male,164,151,92.07%,144,87.80%,8,4.88%,126,76.83%,16,9.76%,69,42.07%,85,51.83%,4,2.44%,34,20.73%
16,Amarillo,148,LIPSCOMB,Female,35,31,88.57%,31,88.57%,0,0.00%,29,82.86%,6,17.14%,9,25.71%,15,42.86%,0,0.00%,7,20.00%
16,Amarillo,148,LIPSCOMB,Male,27,26,96.30%,26,96.30%,0,0.00%,23,85.19%,6,22.22%,6,22.22%,12,44.44%,0,0.00%,3,11.11%
16,Amarillo,171,MOORE,Female,159,148,93.08%,145,91.19%,2,1.26%,124,77.99%,21,13.21%,66,41.51%,87,54.72%,6,3.77%,40,25.16%
16,Amarillo,171,MOORE,Male,160,148,92.50%,144,90.00%,10,6.25%,128,80.00%,21,13.13%,70,43.75%,91,56.88%,4,2.50%,42,26.25%
16,Amarillo,179,OCHILTREE,Female,76,72,94.74%,61,80.26%,11,14.47%,66,86.84%,6,7.89%,29,38.16%,35,46.05%,0,0.00%,17,22.37%
16,Amarillo,179,OCHILTREE,Male,79,70,88.61%,58,73.42%,13,16.46%,61,77.22%,16,20.25%,20,25.32%,36,45.57%,2,2.53%,10,12.66%
16,Amarillo,180,OLDHAM,Female,38,35,92.11%,36,94.74%,1,2.63%,30,78.95%,9,23.68%,16,42.11%,25,65.79%,2,5.26%,7,18.42%
16,Amarillo,180,OLDHAM,Male,50,47,94.00%,43,86.00%,3,6.00%,36,72.00%,9,18.00%,16,32.00%,25,50.00%,1,2.00%,5,10.00%
16,Amarillo,185,PARMER,Female,88,84,95.45%,77,87.50%,2,2.27%,70,79.55%,21,23.86%,37,42.05%,58,65.91%,3,3.41%,30,34.09%
16,Amarillo,185,PARMER,Male,95,91,95.79%,86,90.53%,1,1.05%,74,77.89%,22,23.16%,33,34.74%,55,57.89%,1,1.05%,30,31.58%
16,Amarillo,188,POTTER,Female,1222,1169,95.66%,1047,85.68%,84,6.87%,958,78.40%,220,18.00%,556,45.50%,776,63.50%,60,4.91%,305,24.96%
16,Amarillo,188,POTTER,Male,1217,1147,94.25%,1000,82.17%,118,9.70%,906,74.45%,147,12.08%,468,38.46%,615,50.53%,46,3.78%,216,17.75%
16,Amarillo,191,RANDALL,Female,330,314,95.15%,296,89.70%,2,0.61%,255,77.27%,92,27.88%,147,44.55%,239,72.42%,21,6.36%,127,38.48%
16,Amarillo,191,RANDALL,Male,343,326,95.04%,316,92.13%,9,2.62%,289,84.26%,97,28.28%,116,33.82%,213,62.10%,11,3.21%,90,26.24%
16,Amarillo,197,ROBERTS,Female,,,,,,,,,,,,,,,,,,,
16,Amarillo,197,ROBERTS,Male,,,,,,,,,,,,,,,,,,,
16,Amarillo,211,SHERMAN,Female,22,19,86.36%,18,81.82%,1,4.55%,17,77.27%,1,4.55%,8,36.36%,9,40.91%,1,4.55%,4,18.18%
16,Amarillo,211,SHERMAN,Male,38,37,97.37%,35,92.11%,0,0.00%,24,63.16%,9,23.68%,5,13.16%,14,36.84%,2,5.26%,7,18.42%
16,Amarillo,219,SWISHER,Female,51,46,90.20%,45,88.24%,3,5.88%,44,86.27%,14,27.45%,11,21.57%,25,49.02%,1,1.96%,9,17.65%
16,Amarillo,219,SWISHER,Male,48,48,100.0%,47,97.92%,0,0.00%,41,85.42%,13,27.08%,12,25.00%,25,52.08%,1,2.08%,10,20.83%
16,Amarillo,242,WHEELER,Female,34,32,94.12%,28,82.35%,1,2.94%,26,76.47%,8,23.53%,9,26.47%,17,50.00%,0,0.00%,7,20.59%
16,Amarillo,242,WHEELER,Male,47,43,91.49%,41,87.23%,3,6.38%,37,78.72%,9,19.15%,16,34.04%,25,53.19%,0,0.00%,6,12.77%
17,Lubbock,009,BAILEY,Female,45,43,95.56%,41,91.11%,3,6.67%,38,84.44%,5,11.11%,11,24.44%,16,35.56%,1,2.22%,7,15.56%
17,Lubbock,009,BAILEY,Male,49,46,93.88%,41,83.67%,5,10.20%,39,79.59%,14,28.57%,10,20.41%,24,48.98%,1,2.04%,13,26.53%
17,Lubbock,017,BORDEN,Female,9,9,100.0%,9,100.0%,0,0.00%,9,100.0%,3,33.33%,5,55.56%,8,88.89%,0,0.00%,7,77.78%
17,Lubbock,017,BORDEN,Male,7,7,100.0%,7,100.0%,0,0.00%,7,100.0%,4,57.14%,2,28.57%,6,85.71%,0,0.00%,4,57.14%
17,Lubbock,040,COCHRAN,Female,29,27,93.10%,24,82.76%,1,3.45%,24,82.76%,3,10.34%,14,48.28%,17,58.62%,0,0.00%,9,31.03%
17,Lubbock,040,COCHRAN,Male,33,32,96.97%,29,87.88%,2,6.06%,28,84.85%,4,12.12%,11,33.33%,15,45.45%,0,0.00%,7,21.21%
17,Lubbock,051,COTTLE,Female,,,,,,,,,,,,,,,,,,,
17,Lubbock,051,COTTLE,Male,,,,,,,,,,,,,,,,,,,
17,Lubbock,054,CROSBY,Female,48,46,95.83%,44,91.67%,1,2.08%,37,77.08%,10,20.83%,12,25.00%,22,45.83%,0,0.00%,13,27.08%
17,Lubbock,054,CROSBY,Male,49,49,100.0%,47,95.92%,2,4.08%,40,81.63%,6,12.24%,17,34.69%,23,46.94%,2,4.08%,7,14.29%
17,Lubbock,058,DAWSON,Female,90,82,91.11%,74,82.22%,10,11.11%,65,72.22%,12,13.33%,24,26.67%,36,40.00%,0,0.00%,14,15.56%
17,Lubbock,058,DAWSON,Male,94,86,91.49%,80,85.11%,8,8.51%,71,75.53%,11,11.70%,26,27.66%,37,39.36%,2,2.13%,12,12.77%
17,Lubbock,063,DICKENS,Female,17,17,100.0%,17,100.0%,0,0.00%,13,76.47%,5,29.41%,6,35.29%,11,64.71%,0,0.00%,7,41.18%
17,Lubbock,063,DICKENS,Male,13,13,100.0%,13,100.0%,0,0.00%,12,92.31%,1,7.69%,4,30.77%,5,38.46%,0,0.00%,0,0.00%
17,Lubbock,077,FLOYD,Female,69,66,95.65%,59,85.51%,3,4.35%,48,69.57%,18,26.09%,21,30.43%,39,56.52%,2,2.90%,20,28.99%
17,Lubbock,077,FLOYD,Male,58,56,96.55%,53,91.38%,4,6.90%,49,84.48%,12,20.69%,19,32.76%,31,53.45%,0,0.00%,7,12.07%
17,Lubbock,083,GAINES,Female,109,106,97.25%,103,94.50%,2,1.83%,96,88.07%,24,22.02%,29,26.61%,53,48.62%,0,0.00%,31,28.44%
17,Lubbock,083,GAINES,Male,101,93,92.08%,87,86.14%,1,0.99%,83,82.18%,16,15.84%,24,23.76%,40,39.60%,2,1.98%,18,17.82%
17,Lubbock,085,GARZA,Female,36,34,94.44%,32,88.89%,2,5.56%,28,77.78%,12,33.33%,14,38.89%,26,72.22%,1,2.78%,9,25.00%
17,Lubbock,085,GARZA,Male,54,53,98.15%,52,96.30%,1,1.85%,45,83.33%,10,18.52%,15,27.78%,25,46.30%,0,0.00%,7,12.96%
17,Lubbock,095,HALE,Female,291,275,94.50%,240,82.47%,25,8.59%,214,73.54%,74,25.43%,89,30.58%,163,56.01%,10,3.44%,69,23.71%
17,Lubbock,095,HALE,Male,311,295,94.86%,243,78.14%,44,14.15%,229,73.63%,65,20.90%,76,24.44%,141,45.34%,7,2.25%,52,16.72%
17,Lubbock,110,HOCKLEY,Female,183,181,98.91%,163,89.07%,9,4.92%,148,80.87%,22,12.02%,91,49.73%,113,61.75%,3,1.64%,55,30.05%
17,Lubbock,110,HOCKLEY,Male,184,176,95.65%,155,84.24%,17,9.24%,145,78.80%,20,10.87%,83,45.11%,103,55.98%,2,1.09%,31,16.85%
17,Lubbock,132,KENT,Female,,,,,,,,,,,,,,,,,,,
17,Lubbock,132,KENT,Male,,,,,,,,,,,,,,,,,,,
17,Lubbock,135,KING,Female,,,,,,,,,,,,,,,,,,,
17,Lubbock,135,KING,Male,,,,,,,,,,,,,,,,,,,
17,Lubbock,140,LAMB,Female,132,128,96.97%,108,81.82%,9,6.82%,94,71.21%,18,13.64%,48,36.36%,66,50.00%,2,1.52%,25,18.94%
17,Lubbock,140,LAMB,Male,122,118,96.72%,106,86.89%,10,8.20%,97,79.51%,23,18.85%,36,29.51%,59,48.36%,2,1.64%,28,22.95%
17,Lubbock,152,LUBBOCK,Female,1506,1430,94.95%,1317,87.45%,76,5.05%,1166,77.42%,351,23.31%,495,32.87%,846,56.18%,46,3.05%,353,23.44%
17,Lubbock,152,LUBBOCK,Male,1679,1591,94.76%,1419,84.51%,122,7.27%,1231,73.32%,298,17.75%,489,29.12%,787,46.87%,45,2.68%,259,15.43%
17,Lubbock,153,LYNN,Female,57,54,94.74%,52,91.23%,3,5.26%,49,85.96%,9,15.79%,14,24.56%,23,40.35%,2,3.51%,7,12.28%
17,Lubbock,153,LYNN,Male,64,57,89.06%,53,82.81%,6,9.38%,48,75.00%,11,17.19%,17,26.56%,28,43.75%,2,3.13%,11,17.19%
17,Lubbock,173,MOTLEY,Female,,,,,,,,,,,,,,,,,,,
17,Lubbock,173,MOTLEY,Male,,,,,,,,,,,,,,,,,,,
17,Lubbock,223,TERRY,Female,91,87,95.60%,83,91.21%,6,6.59%,66,72.53%,18,19.78%,26,28.57%,44,48.35%,0,0.00%,13,14.29%
17,Lubbock,223,TERRY,Male,80,76,95.00%,69,86.25%,7,8.75%,65,81.25%,10,12.50%,29,36.25%,39,48.75%,2,2.50%,14,17.50%
17,Lubbock,251,YOAKUM,Female,67,65,97.01%,62,92.54%,1,1.49%,58,86.57%,17,25.37%,22,32.84%,39,58.21%,0,0.00%,24,35.82%
17,Lubbock,251,YOAKUM,Male,56,53,94.64%,51,91.07%,1,1.79%,48,85.71%,9,16.07%,19,33.93%,28,50.00%,0,0.00%,14,25.00%
18,Midland,002,ANDREWS,Female,92,89,96.74%,81,88.04%,4,4.35%,69,75.00%,10,10.87%,33,35.87%,43,46.74%,2,2.17%,16,17.39%
18,Midland,002,ANDREWS,Male,119,116,97.48%,102,85.71%,14,11.76%,96,80.67%,16,13.45%,29,24.37%,45,37.82%,1,0.84%,13,10.92%
18,Midland,022,BREWSTER,Female,37,34,91.89%,31,83.78%,0,0.00%,30,81.08%,23,62.16%,4,10.81%,27,72.97%,2,5.41%,6,16.22%
18,Midland,022,BREWSTER,Male,46,43,93.48%,37,80.43%,3,6.52%,32,69.57%,9,19.57%,10,21.74%,19,41.30%,1,2.17%,8,17.39%
18,Midland,052,CRANE,Female,32,30,93.75%,29,90.63%,2,6.25%,25,78.13%,10,31.25%,10,31.25%,20,62.50%,2,6.25%,9,28.13%
18,Midland,052,CRANE,Male,39,38,97.44%,31,79.49%,8,20.51%,30,76.92%,8,20.51%,13,33.33%,21,53.85%,0,0.00%,9,23.08%
18,Midland,055,CULBERSON,Female,24,24,100.0%,23,95.83%,0,0.00%,20,83.33%,8,33.33%,5,20.83%,13,54.17%,1,4.17%,7,29.17%
18,Midland,055,CULBERSON,Male,23,21,91.30%,22,95.65%,0,0.00%,19,82.61%,7,30.43%,2,8.70%,9,39.13%,0,0.00%,4,17.39%
18,Midland,068,ECTOR,Female,1031,934,90.59%,876,84.97%,85,8.24%,683,66.25%,142,13.77%,398,38.60%,540,52.38%,52,5.04%,215,20.85%
18,Midland,068,ECTOR,Male,1061,929,87.56%,820,77.29%,130,12.25%,631,59.47%,118,11.12%,314,29.59%,432,40.72%,41,3.86%,108,10.18%
18,Midland,087,GLASSCOCK,Female,17,17,100.0%,16,94.12%,0,0.00%,16,94.12%,8,47.06%,4,23.53%,12,70.59%,0,0.00%,8,47.06%
18,Midland,087,GLASSCOCK,Male,11,11,100.0%,10,90.91%,0,0.00%,11,100.0%,2,18.18%,4,36.36%,6,54.55%,0,0.00%,3,27.27%
18,Midland,114,HOWARD,Female,196,190,96.94%,171,87.24%,12,6.12%,147,75.00%,26,13.27%,101,51.53%,127,64.80%,11,5.61%,59,30.10%
18,Midland,114,HOWARD,Male,210,192,91.43%,171,81.43%,20,9.52%,136,64.76%,26,12.38%,64,30.48%,90,42.86%,7,3.33%,35,16.67%
18,Midland,122,JEFF DAVIS,Female,,,,,,,,,,,,,,,,,,,
18,Midland,122,JEFF DAVIS,Male,,,,,,,,,,,,,,,,,,,
18,Midland,156,MARTIN,Female,41,41,100.0%,39,95.12%,0,0.00%,33,80.49%,6,14.63%,17,41.46%,23,56.10%,0,0.00%,9,21.95%
18,Midland,156,MARTIN,Male,34,29,85.29%,29,85.29%,3,8.82%,26,76.47%,4,11.76%,16,47.06%,20,58.82%,1,2.94%,12,35.29%
18,Midland,165,MIDLAND,Female,947,882,93.14%,774,81.73%,83,8.76%,705,74.45%,138,14.57%,397,41.92%,535,56.49%,26,2.75%,199,21.01%
18,Midland,165,MIDLAND,Male,923,849,91.98%,718,77.79%,117,12.68%,615,66.63%,110,11.92%,312,33.80%,422,45.72%,33,3.58%,147,15.93%
18,Midland,186,PECOS,Female,90,86,95.56%,76,84.44%,8,8.89%,64,71.11%,9,10.00%,36,40.00%,45,50.00%,5,5.56%,13,14.44%
18,Midland,186,PECOS,Male,111,110,99.10%,98,88.29%,10,9.01%,90,81.08%,33,29.73%,32,28.83%,65,58.56%,3,2.70%,17,15.32%
18,Midland,189,PRESIDIO,Female,81,63,77.78%,60,74.07%,7,8.64%,53,65.43%,25,30.86%,14,17.28%,39,48.15%,2,2.47%,16,19.75%
18,Midland,189,PRESIDIO,Male,77,70,90.91%,61,79.22%,8,10.39%,52,67.53%,27,35.06%,7,9.09%,34,44.16%,0,0.00%,8,10.39%
18,Midland,192,REAGAN,Female,27,27,100.0%,26,96.30%,0,0.00%,24,88.89%,7,25.93%,10,37.04%,17,62.96%,0,0.00%,9,33.33%
18,Midland,192,REAGAN,Male,28,28,100.0%,28,100.0%,0,0.00%,25,89.29%,8,28.57%,3,10.71%,11,39.29%,0,0.00%,3,10.71%
18,Midland,195,REEVES,Female,71,66,92.96%,53,74.65%,7,9.86%,49,69.01%,12,16.90%,22,30.99%,34,47.89%,2,2.82%,4,5.63%
18,Midland,195,REEVES,Male,98,95,96.94%,77,78.57%,12,12.24%,75,76.53%,22,22.45%,18,18.37%,40,40.82%,0,0.00%,10,10.20%
18,Midland,222,TERRELL,Female,,,,,,,,,,,,,,,,,,,
18,Midland,222,TERRELL,Male,,,,,,,,,,,,,,,,,,,
18,Midland,231,UPTON,Female,20,19,95.00%,19,95.00%,0,0.00%,17,85.00%,5,25.00%,8,40.00%,13,65.00%,0,0.00%,6,30.00%
18,Midland,231,UPTON,Male,31,30,96.77%,29,93.55%,1,3.23%,25,80.65%,5,16.13%,9,29.03%,14,45.16%,0,0.00%,4,12.90%
18,Midland,238,WARD,Female,93,91,97.85%,74,79.57%,13,13.98%,80,86.02%,24,25.81%,21,22.58%,45,48.39%,0,0.00%,26,27.96%
18,Midland,238,WARD,Male,82,78,95.12%,67,81.71%,9,10.98%,62,75.61%,12,14.63%,25,30.49%,37,45.12%,1,1.22%,10,12.20%
18,Midland,248,WINKLER,Female,50,47,94.00%,47,94.00%,1,2.00%,42,84.00%,12,24.00%,22,44.00%,34,68.00%,2,4.00%,13,26.00%
18,Midland,248,WINKLER,Male,72,66,91.67%,65,90.28%,2,2.78%,53,73.61%,13,18.06%,21,29.17%,34,47.22%,2,2.78%,8,11.11%
19,El Paso,999,El Paso&Hudsp,Female,6388,5960,93.30%,4969,77.79%,835,13.07%,4896,76.64%,1441,22.56%,2444,38.26%,3885,60.82%,233,3.65%,1462,22.89%
19,El Paso,999,El Paso&Hudsp,Male,6592,6075,92.16%,4726,71.69%,1242,18.84%,4758,72.18%,1314,19.93%,2255,34.21%,3569,54.14%,305,4.63%,943,14.31%
20,San Antonio,007,ATASCOSA,Female,329,312,94.83%,282,85.71%,23,6.99%,256,77.81%,61,18.54%,101,30.70%,162,49.24%,6,1.82%,63,19.15%
20,San Antonio,007,ATASCOSA,Male,345,336,97.39%,279,80.87%,47,13.62%,265,76.81%,42,12.17%,90,26.09%,132,38.26%,4,1.16%,34,9.86%
20,San Antonio,010,BANDERA,Female,98,94,95.92%,84,85.71%,9,9.18%,82,83.67%,29,29.59%,27,27.55%,56,57.14%,3,3.06%,18,18.37%
20,San Antonio,010,BANDERA,Male,120,114,95.00%,98,81.67%,13,10.83%,93,77.50%,18,15.00%,32,26.67%,50,41.67%,4,3.33%,16,13.33%
20,San Antonio,015,BEXAR,Female,10386,9735,93.73%,7921,76.27%,1583,15.24%,7583,73.01%,2146,20.66%,3660,35.24%,5806,55.90%,421,4.05%,2311,22.25%
20,San Antonio,015,BEXAR,Male,11026,10227,92.75%,7842,71.12%,2170,19.68%,7624,69.15%,1843,16.72%,3420,31.02%,5263,47.73%,393,3.56%,1633,14.81%
20,San Antonio,064,DIMMIT,Female,106,100,94.34%,87,82.08%,15,14.15%,80,75.47%,12,11.32%,47,44.34%,59,55.66%,6,5.66%,19,17.92%
20,San Antonio,064,DIMMIT,Male,89,86,96.63%,52,58.43%,28,31.46%,60,67.42%,12,13.48%,27,30.34%,39,43.82%,2,2.25%,18,20.22%
20,San Antonio,082,FRIO,Female,125,122,97.60%,95,76.00%,24,19.20%,101,80.80%,23,18.40%,33,26.40%,56,44.80%,1,0.80%,20,16.00%
20,San Antonio,082,FRIO,Male,111,106,95.50%,86,77.48%,21,18.92%,89,80.18%,22,19.82%,28,25.23%,50,45.05%,1,0.90%,21,18.92%
20,San Antonio,130,KENDALL,Female,260,247,95.00%,235,90.38%,2,0.77%,228,87.69%,120,46.15%,69,26.54%,189,72.69%,10,3.85%,119,45.77%
20,San Antonio,130,KENDALL,Male,264,254,96.21%,241,91.29%,5,1.89%,232,87.88%,117,44.32%,80,30.30%,197,74.62%,14,5.30%,94,35.61%
20,San Antonio,133,KERR,Female,285,269,94.39%,235,82.46%,25,8.77%,219,76.84%,81,28.42%,56,19.65%,137,48.07%,12,4.21%,58,20.35%
20,San Antonio,133,KERR,Male,302,276,91.39%,226,74.83%,43,14.24%,200,66.23%,68,22.52%,46,15.23%,114,37.75%,9,2.98%,42,13.91%
20,San Antonio,136,KINNEY,Female,25,25,100.0%,23,92.00%,0,0.00%,21,84.00%,6,24.00%,7,28.00%,13,52.00%,0,0.00%,3,12.00%
20,San Antonio,136,KINNEY,Male,31,29,93.55%,26,83.87%,1,3.23%,23,74.19%,11,35.48%,5,16.13%,16,51.61%,0,0.00%,8,25.81%
20,San Antonio,142,LA SALLE,Female,49,48,97.96%,44,89.80%,5,10.20%,39,79.59%,15,30.61%,4,8.16%,19,38.78%,0,0.00%,7,14.29%
20,San Antonio,142,LA SALLE,Male,47,46,97.87%,40,85.11%,6,12.77%,43,91.49%,12,25.53%,7,14.89%,19,40.43%,0,0.00%,7,14.89%
20,San Antonio,159,MAVERICK,Female,512,492,96.09%,426,83.20%,50,9.77%,404,78.91%,108,21.09%,237,46.29%,345,67.38%,14,2.73%,156,30.47%
20,San Antonio,159,MAVERICK,Male,564,536,95.04%,453,80.32%,65,11.52%,419,74.29%,115,20.39%,206,36.52%,321,56.91%,13,2.30%,134,23.76%
20,San Antonio,163,MEDINA,Female,362,338,93.37%,290,80.11%,48,13.26%,270,74.59%,73,20.17%,117,32.32%,190,52.49%,14,3.87%,79,21.82%
20,San Antonio,163,MEDINA,Male,377,360,95.49%,303,80.37%,43,11.41%,299,79.31%,83,22.02%,98,25.99%,181,48.01%,6,1.59%,74,19.63%
20,San Antonio,193,REAL,Female,16,16,100.0%,15,93.75%,0,0.00%,11,68.75%,2,12.50%,6,37.50%,8,50.00%,0,0.00%,3,18.75%
20,San Antonio,193,REAL,Male,12,11,91.67%,10,83.33%,1,8.33%,11,91.67%,0,0.00%,9,75.00%,9,75.00%,0,0.00%,1,8.33%
20,San Antonio,232,UVALDE,Female,240,226,94.17%,194,80.83%,26,10.83%,176,73.33%,38,15.83%,118,49.17%,156,65.00%,11,4.58%,63,26.25%
20,San Antonio,232,UVALDE,Male,257,246,95.72%,180,70.04%,52,20.23%,170,66.15%,29,11.28%,104,40.47%,133,51.75%,12,4.67%,47,18.29%
20,San Antonio,247,WILSON,Female,296,286,96.62%,261,88.18%,22,7.43%,260,87.84%,73,24.66%,119,40.20%,192,64.86%,11,3.72%,88,29.73%
20,San Antonio,247,WILSON,Male,313,305,97.44%,279,89.14%,21,6.71%,257,82.11%,55,17.57%,105,33.55%,160,51.12%,4,1.28%,61,19.49%
20,San Antonio,254,ZAVALA,Female,106,101,95.28%,86,81.13%,17,16.04%,75,70.75%,9,8.49%,57,53.77%,66,62.26%,3,2.83%,29,27.36%
20,San Antonio,254,ZAVALA,Male,103,94,91.26%,77,74.76%,14,13.59%,73,70.87%,5,4.85%,46,44.66%,51,49.51%,1,0.97%,15,14.56%
