county,fips_key,sos_key
Anderson,001,001
Andrews,003,002
Angelina,005,003
Aransas,007,004
Archer,009,005
Armstrong,011,006
Atascosa,013,007
Austin,015,008
Bailey,017,009
Bandera,019,010
Bastrop,021,011
Baylor,023,012
Bee,025,013
Bell,027,014
Bexar,029,015
Blanco,031,016
Borden,033,017
Bosque,035,018
Bowie,037,019
Brazoria,039,020
Brazos,041,021
Brewster,043,022
Briscoe,045,023
Brooks,047,024
Brown,049,025
Burleson,051,026
Burnet,053,027
Caldwell,055,028
Calhoun,057,029
Callahan,059,030
Cameron,061,031
Camp,063,032
Carson,065,033
Cass,067,034
Castro,069,035
Chambers,071,036
Cherokee,073,037
Childress,075,038
Clay,077,039
Cochran,079,040
Coke,081,041
Coleman,083,042
Collin,085,043
Collingsworth,087,044
Colorado,089,045
Comal,091,046
Comanche,093,047
Concho,095,048
Cooke,097,049
Coryell,099,050
Cottle,101,051
Crane,103,052
Crockett,105,053
Crosby,107,054
Culberson,109,055
Dallam,111,056
Dallas,113,057
Dawson,115,058
Deaf Smith,117,059
Delta,119,060
Denton,121,061
DeWitt,123,062
Dickens,125,063
Dimmit,127,064
Donley,129,065
Duval,131,066
Eastland,133,067
Ector,135,068
Edwards,137,069
Ellis,139,070
El Paso,141,071
Erath,143,072
Falls,145,073
Fannin,147,074
Fayette,149,075
Fisher,151,076
Floyd,153,077
Foard,155,078
Fort Bend,157,079
Franklin,159,080
Freestone,161,081
Frio,163,082
Gaines,165,083
Galveston,167,084
Garza,169,085
Gillespie,171,086
Glasscock,173,087
Goliad,175,088
Gonzales,177,089
Gray,179,090
Grayson,181,091
Gregg,183,092
Grimes,185,093
Guadalupe,187,094
Hale,189,095
Hall,191,096
Hamilton,193,097
Hansford,195,098
Hardeman,197,099
Hardin,199,100
Harris,201,101
Harrison,203,102
Hartley,205,103
Haskell,207,104
Hays,209,105
Hemphill,211,106
Henderson,213,107
Hidalgo,215,108
Hill,217,109
Hockley,219,110
Hood,221,111
Hopkins,223,112
Houston,225,113
Howard,227,114
Hudspeth,229,115
Hunt,231,116
Hutchinson,233,117
Irion,235,118
Jack,237,119
Jackson,239,120
Jasper,241,121
Jeff Davis,243,122
Jefferson,245,123
Jim Hogg,247,124
Jim Wells,249,125
Johnson,251,126
Jones,253,127
Karnes,255,128
Kaufman,257,129
Kendall,259,130
Kenedy,261,131
Kent,263,132
Kerr,265,133
Kimble,267,134
King,269,135
Kinney,271,136
Kleberg,273,137
Knox,275,138
Lamar,277,139
Lamb,279,140
Lampasas,281,141
La Salle,283,142
Lavaca,285,143
Lee,287,144
Leon,289,145
Liberty,291,146
Limestone,293,147
Lipscomb,295,148
Live Oak,297,149
Llano,299,150
Loving,301,151
Lubbock,303,152
Lynn,305,153
Madison,313,154
Marion,315,155
Martin,317,156
Mason,319,157
Matagorda,321,158
Maverick,323,159
McCulloch,307,160
McLennan,309,161
McMullen,311,162
Medina,325,163
Menard,327,164
Midland,329,165
Milam,331,166
Mills,333,167
Mitchell,335,168
Montague,337,169
Montgomery,339,170
Moore,341,171
Morris,343,172
Motley,345,173
Nacogdoches,347,174
Navarro,349,175
Newton,351,176
Nolan,353,177
Nueces,355,178
Ochiltree,357,179
Oldham,359,180
Orange,361,181
Palo Pinto,363,182
Panola,365,183
Parker,367,184
Parmer,369,185
Pecos,371,186
Polk,373,187
Potter,375,188
Presidio,377,189
Rains,379,190
Randall,381,191
Reagan,383,192
Real,385,193
Red River,387,194
Reeves,389,195
Refugio,391,196
Roberts,393,197
Robertson,395,198
Rockwall,397,199
Runnels,399,200
Rusk,401,201
Sabine,403,202
San Augustine,405,203
San Jacinto,407,204
San Patricio,409,205
San Saba,411,206
Schleicher,413,207
Scurry,415,208
Shackelford,417,209
Shelby,419,210
Sherman,421,211
Smith,423,212
Somervell,425,213
Starr,427,214
Stephens,429,215
Sterling,431,216
Stonewall,433,217
Sutton,435,218
Swisher,437,219
Tarrant,439,220
Taylor,441,221
Terrell,443,222
Terry,445,223
Throckmorton,447,224
Titus,449,225
Tom Green,451,226
Travis,453,227
Trinity,455,228
Tyler,457,229
Upshur,459,230
Upton,461,231
Uvalde,463,232
Val Verde,465,233
Van Zandt,467,234
Victoria,469,235
Walker,471,236
Waller,473,237
Ward,475,238
Washington,477,239
Webb,479,240
Wharton,481,241
Wheeler,483,242
Wichita,485,243
Wilbarger,487,244
Willacy,489,245
Williamson,491,246
Wilson,493,247
Winkler,495,248
Wise,497,249
Wood,499,250
Yoakum,501,251
Young,503,252
Zapata,505,253
Zavala,507,254