DISTRICT,DISTNAME,District Number,District Name
100903,KOUNTZE ISD,100903,Kountze ISD
100904,SILSBEE ISD,100904,Silsbee ISD
100905,HARDIN-JEFFERSON ISD,100905,Hardin-Jefferson ISD
100907,LUMBERTON ISD,100907,Lumberton ISD
100908,WEST HARDIN COUNTY CISD,100908,West Hardin County CISD
101801,MEDICAL CENTER CHARTER SCHOOL,101801,Medical Center Charter School (C)
101802,SER-NINOS CHARTER SCHOOL,101802,Ser-Ninos Charter School (C)
101803,ARISTOI CLASSICAL ACADEMY,101803,West Houston Charter School (C)
101804,GEORGE I SANCHEZ CHARTER,101804,George I Sanchez Charter (C)
101805,GIRLS & BOYS PREPARATORY ACADEMY,101805,Girls & Boys Prep Academy (C)
101806,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,101806,Raul Yzaguirre School For Success (C)
101807,UNIVERSITY OF HOUSTON CHARTER SCHO,101807,University Of Houston Charter School (C)
101809,BAY AREA CHARTER INC,101809,Bay Area Charter Inc (C)
101810,ACADEMY OF ACCELERATED LEARNING IN,101810,Academy Of Accelerated Learning Inc (C)
101811,EXCEL ACADEMY,101811,Excel Academy (C)
101813,KIPP INC CHARTER,101813,KIPP Inc Charter (C)
101814,THE VARNETT PUBLIC SCHOOL,101814,The Varnett Public School (C)
101815,ALIEF MONTESSORI COMMUNITY SCHOOL,101815,Alief Montessori Community School (C)
101819,AMIGOS POR VIDA-FRIENDS FOR LIFE P,101819,Amigos Por Vida-Friends For Life Public Charter School (C)
101821,HOUSTON HEIGHTS HIGH SCHOOL,101821,Houston Heights High School (C)
101822,JAMIE'S HOUSE CHARTER SCHOOL,101822,Jamie's House Charter School (C)
101828,HOUSTON GATEWAY ACADEMY INC,101828,Houston Gateway Academy Inc (C)
101829,HOUSTON HEIGHTS LEARNING ACADEMY I,101829,Houston Heights Learning Academy Inc (C)
101833,LA AMISTAD LOVE & LEARNING ACADEMY,101833,La Amistad Love & Learning Academy (C)
101837,CALVIN NELMS CHARTER SCHOOLS,101837,Calvin Nelms Charter Schools (C)
101838,SOUTHWEST SCHOOL,101838,Southwest School (C)
101840,TWO DIMENSIONS PREPARATORY ACADEMY,101840,Two Dimensions Preparatory Academy (C)
101842,COMQUEST ACADEMY,101842,Comquest Academy (C)
101845,YES PREP PUBLIC SCHOOLS INC,101845,Yes Preparatory Public Schools (C)
101846,HARMONY SCIENCE ACADEMY,101846,Harmony Science Academy (Houston) (C)
101847,BEATRICE MAYES INSTITUTE CHARTER S,101847,Beatrice Mayes Institute Charter School (C)
101848,NORTHWEST PREPARATORY,101848,Northwest Preparatory (C)
101849,ACCELERATED INTERMEDIATE ACADEMY,101849,Accelerated Intermediate Academy (C)
101850,ZOE LEARNING ACADEMY,101850,Zoe Learning Academy (C)
101853,PROMISE COMMUNITY SCHOOL,101853,Ripley House Charter School (C)
101854,RICHARD MILBURN ACADEMY (SUBURBAN,101854,Richard Milburn Academy (Suburban Houston) (C)
101855,MEYERPARK ELEMENTARY,101855,Meyerpark Elementary (C)
101856,DRAW ACADEMY,101856,Draw Academy (C)
101858,HARMONY SCHOOL OF EXCELLENCE,101858,Harmony School Of Excellence (C)
101859,STEPPING STONES CHARTER EL,101859,Stepping Stones Charter Elementary (C)
101861,THE RHODES SCHOOL,101861,The Rhodes School (C)
101862,HARMONY SCHOOL OF SCIENCE - HOUSTO,101862,Harmony School Of Science (Houston) (C)
101863,KOINONIA COMMUNITY LEARNING ACADEM,101863,Koinonia Community Learning Academy (C)
101864,WALIPP-TSU PREPARATORY ACADEMY,101864,Walipp-Tsu Preparatory Academy
101865,VICTORY PREP,101865,Victory Prep
101866,GLOBAL LEARNING VILLAGE,101866,Global Learning Village
101867,FALLBROOK COLLEGE PREPARATORY ACAD,101867,Fallbrook College Preparatory Acad
101868,THE PRO-VISION ACADEMY,101868,The Pro-Vision Academy
101869,C O R E ACADEMY,101869,C O R E Academy
101902,ALDINE ISD,101902,Aldine ISD
101903,ALIEF ISD,101903,Alief ISD
101905,CHANNELVIEW ISD,101905,Channelview ISD
101906,CROSBY ISD,101906,Crosby ISD
101907,CYPRESS-FAIRBANKS ISD,101907,Cypress-Fairbanks ISD
101908,DEER PARK ISD,101908,Deer Park ISD
101910,GALENA PARK ISD,101910,Galena Park ISD
101911,GOOSE CREEK CISD,101911,Goose Creek CISD
101912,HOUSTON ISD,101912,Houston ISD
101913,HUMBLE ISD,101913,Humble ISD
101914,KATY ISD,101914,Katy ISD
101915,KLEIN ISD,101915,Klein ISD
101916,LA PORTE ISD,101916,La Porte ISD
101917,PASADENA ISD,101917,Pasadena ISD
101919,SPRING ISD,101919,Spring ISD
101920,SPRING BRANCH ISD,101920,Spring Branch ISD
101921,TOMBALL ISD,101921,Tomball ISD
101924,SHELDON ISD,101924,Sheldon ISD
101925,HUFFMAN ISD,101925,Huffman ISD
102901,KARNACK ISD,102901,Karnack ISD
102902,MARSHALL ISD,102902,Marshall ISD
102903,WASKOM ISD,102903,Waskom ISD
102904,HALLSVILLE ISD,102904,Hallsville ISD
102905,HARLETON ISD,102905,Harleton ISD
102906,ELYSIAN FIELDS ISD,102906,Elysian Fields ISD
103901,CHANNING ISD,103901,Channing ISD
103902,HARTLEY ISD,103902,Hartley ISD
104901,HASKELL CISD,104901,Haskell CISD
104903,RULE ISD,104903,Rule ISD
104907,PAINT CREEK ISD,104907,Paint Creek ISD
105801,KATHERINE ANNE PORTER SCHOOL,105801,Katherine Anne Porter School (C)
105802,TEXAS PREPARATORY SCHOOL,105802,Texas Preparatory School (C)
105902,SAN MARCOS CISD,105902,San Marcos CISD
105904,DRIPPING SPRINGS ISD,105904,Dripping Springs ISD
105905,WIMBERLEY ISD,105905,Wimberley ISD
105906,HAYS CISD,105906,Hays CISD
106901,CANADIAN ISD,106901,Canadian ISD
107901,ATHENS ISD,107901,Athens ISD
107902,BROWNSBORO ISD,107902,Brownsboro ISD
107904,CROSS ROADS ISD,107904,Cross Roads ISD
107905,EUSTACE ISD,107905,Eustace ISD
107906,MALAKOFF ISD,107906,Malakoff ISD
107907,TRINIDAD ISD,107907,Trinidad ISD
107908,MURCHISON ISD,107908,Murchison ISD
107910,LAPOYNOR ISD,107910,Lapoynor ISD
108801,IGNITE PUBLIC SCHOOLS AND COMMUNIT,108801,One Stop Multiservice Charter School (C)
108802,SOUTH TEXAS EDUCATIONAL TECHNOLOGI,108802,Technology Education Charter High (C)
108804,MIDVALLEY ACADEMY CHARTER DISTRICT,108804,Mid-Valley Academy (C)
108807,IDEA PUBLIC SCHOOLS,108807,Idea Public Schools (C)
108808,VANGUARD ACADEMY,108808,Vanguard Academy (C)
108809,EXCELLENCE IN LEADERSHIP ACADEMY,108809,Excellence In Leadership Academy
108902,DONNA ISD,108902,Donna ISD
108903,EDCOUCH-ELSA ISD,108903,Edcouch-Elsa ISD
108904,EDINBURG CISD,108904,Edinburg CISD
108905,HIDALGO ISD,108905,Hidalgo ISD
108906,MCALLEN ISD,108906,McAllen ISD
108907,MERCEDES ISD,108907,Mercedes ISD
108908,MISSION CISD,108908,Mission CISD
108909,PHARR-SAN JUAN-ALAMO ISD,108909,Pharr-San Juan-Alamo ISD
108910,PROGRESO ISD,108910,Progreso ISD
108911,SHARYLAND ISD,108911,Sharyland ISD
108912,LA JOYA ISD,108912,La Joya ISD
108913,WESLACO ISD,108913,Weslaco ISD
108914,LA VILLA ISD,108914,La Villa ISD
108915,MONTE ALTO ISD,108915,Monte Alto ISD
108916,VALLEY VIEW ISD,108916,Valley View ISD
109901,ABBOTT ISD,109901,Abbott ISD
109902,BYNUM ISD,109902,Bynum ISD
109903,COVINGTON ISD,109903,Covington ISD
109904,HILLSBORO ISD,109904,Hillsboro ISD
109905,HUBBARD ISD,109905,Hubbard ISD
109907,ITASCA ISD,109907,Itasca ISD
109908,MALONE ISD,109908,Malone ISD
109910,MOUNT CALM ISD,109910,Mount Calm ISD
109911,WHITNEY ISD,109911,Whitney ISD
109912,AQUILLA ISD,109912,Aquilla ISD
109913,BLUM ISD,109913,Blum ISD
109914,PENELOPE ISD,109914,Penelope ISD
110901,ANTON ISD,110901,Anton ISD
110902,LEVELLAND ISD,110902,Levelland ISD
110905,ROPES ISD,110905,Ropes ISD
110906,SMYER ISD,110906,Smyer ISD
110907,SUNDOWN ISD,110907,Sundown ISD
110908,WHITHARRAL ISD,110908,Whitharral ISD
111901,GRANBURY ISD,111901,Granbury ISD
111902,LIPAN ISD,111902,Lipan ISD
111903,TOLAR ISD,111903,Tolar ISD
112901,SULPHUR SPRINGS ISD,112901,Sulphur Springs ISD
112905,CUMBY ISD,112905,Cumby ISD
112906,NORTH HOPKINS ISD,112906,North Hopkins ISD
112907,MILLER GROVE ISD,112907,Miller Grove ISD
112908,COMO-PICKTON CISD,112908,Como-Pickton CISD
112909,SALTILLO ISD,112909,Saltillo ISD
112910,SULPHUR BLUFF ISD,112910,Sulphur Bluff ISD
113901,CROCKETT ISD,113901,Crockett ISD
113902,GRAPELAND ISD,113902,Grapeland ISD
113903,LOVELADY ISD,113903,Lovelady ISD
113905,LATEXO ISD,113905,Latexo ISD
113906,KENNARD ISD,113906,Kennard ISD
114901,BIG SPRING ISD,114901,Big Spring ISD
114902,COAHOMA ISD,114902,Coahoma ISD
114904,FORSAN ISD,114904,Forsan ISD
115901,FT HANCOCK ISD,115901,Fort Hancock ISD
115902,SIERRA BLANCA ISD,115902,Sierra Blanca ISD
115903,DELL CITY ISD,115903,Dell City ISD
116801,PHOENIX CHARTER SCHOOL,116801,Phoenix Charter School (C)
116901,CADDO MILLS ISD,116901,Caddo Mills ISD
116902,CELESTE ISD,116902,Celeste ISD
116903,COMMERCE ISD,116903,Commerce ISD
116905,GREENVILLE ISD,116905,Greenville ISD
116906,LONE OAK ISD,116906,Lone Oak ISD
116908,QUINLAN ISD,116908,Quinlan ISD
116909,WOLFE CITY ISD,116909,Wolfe City ISD
116910,CAMPBELL ISD,116910,Campbell ISD
116915,BLAND ISD,116915,Bland ISD
116916,BOLES ISD,116916,Boles ISD
117901,BORGER ISD,117901,Borger ISD
117903,SANFORD-FRITCH ISD,117903,Sanford-Fritch ISD
117904,PLEMONS-STINNETT-PHILLIPS CISD,117904,Plemons-Stinnett-Phillips CISD
117907,SPRING CREEK ISD,117907,Spring Creek ISD
118902,IRION COUNTY ISD,118902,Irion County ISD
119901,BRYSON ISD,119901,Bryson ISD
119902,JACKSBORO ISD,119902,Jacksboro ISD
119903,PERRIN-WHITT CISD,119903,Perrin-Whitt CISD
120901,EDNA ISD,120901,Edna ISD
120902,GANADO ISD,120902,Ganado ISD
120905,INDUSTRIAL ISD,120905,Industrial ISD
121902,BROOKELAND ISD,121902,Brookeland ISD
121903,BUNA ISD,121903,Buna ISD
121904,JASPER ISD,121904,Jasper ISD
121905,KIRBYVILLE CISD,121905,Kirbyville CISD
121906,EVADALE ISD,121906,Evadale ISD
122901,FT DAVIS ISD,122901,Fort Davis ISD
122902,VALENTINE ISD,122902,Valentine ISD
123803,TEKOA ACADEMY OF ACCELERATED STUDI,123803,Tekoa Academy Of Accelerated Studies (C)
123805,EHRHART SCHOOL,123805,Ehrhart School (C)
123807,BOB HOPE SCHOOL,123807,Bob Hope School (C)
123905,NEDERLAND ISD,123905,Nederland ISD
123907,PORT ARTHUR ISD,123907,Port Arthur ISD
123908,PORT NECHES-GROVES ISD,123908,Port Neches-Groves ISD
123910,BEAUMONT ISD,123910,Beaumont ISD
123913,SABINE PASS ISD,123913,Sabine Pass ISD
123914,HAMSHIRE-FANNETT ISD,123914,Hamshire-Fannett ISD
124901,JIM HOGG COUNTY ISD,124901,Jim Hogg County ISD
125901,ALICE ISD,125901,Alice ISD
125902,BEN BOLT-PALITO BLANCO ISD,125902,Ben Bolt-Palito Blanco ISD
125903,ORANGE GROVE ISD,125903,Orange Grove ISD
125905,PREMONT ISD,125905,Premont ISD
125906,LA GLORIA ISD,125906,La Gloria ISD
126901,ALVARADO ISD,126901,Alvarado ISD
126902,BURLESON ISD,126902,Burleson ISD
126903,CLEBURNE ISD,126903,Cleburne ISD
126904,GRANDVIEW ISD,126904,Grandview ISD
126905,JOSHUA ISD,126905,Joshua ISD
126906,KEENE ISD,126906,Keene ISD
126907,RIO VISTA ISD,126907,Rio Vista ISD
126908,VENUS ISD,126908,Venus ISD
126911,GODLEY ISD,126911,Godley ISD
127901,ANSON ISD,127901,Anson ISD
127903,HAMLIN ISD,127903,Hamlin ISD
127904,HAWLEY ISD,127904,Hawley ISD
127905,LUEDERS-AVOCA ISD,127905,Lueders-Avoca ISD
127906,STAMFORD ISD,127906,Stamford ISD
128901,KARNES CITY ISD,128901,Karnes City ISD
128902,KENEDY ISD,128902,Kenedy ISD
128903,RUNGE ISD,128903,Runge ISD
128904,FALLS CITY ISD,128904,Falls City ISD
129901,CRANDALL ISD,129901,Crandall ISD
129902,FORNEY ISD,129902,Forney ISD
129903,KAUFMAN ISD,129903,Kaufman ISD
129904,KEMP ISD,129904,Kemp ISD
129905,MABANK ISD,129905,Mabank ISD
129906,TERRELL ISD,129906,Terrell ISD
129910,SCURRY-ROSSER ISD,129910,Scurry-Rosser ISD
130801,MEADOWLAND CHARTER SCHOOL,130801,Meadowland Charter School (C)
130901,BOERNE ISD,130901,Boerne ISD
130902,COMFORT ISD,130902,Comfort ISD
131001,KENEDY COUNTY WIDE CSD,131001,Kenedy County Wide CSD
132902,JAYTON-GIRARD ISD,132902,Jayton-Girard ISD
133901,CENTER POINT ISD,133901,Center Point ISD
133902,HUNT ISD,133902,Hunt ISD
133903,KERRVILLE ISD,133903,Kerrville ISD
133904,INGRAM ISD,133904,Ingram ISD
133905,DIVIDE ISD,133905,Divide ISD
134901,JUNCTION ISD,134901,Junction ISD
135001,GUTHRIE CSD,135001,Guthrie CSD
136901,BRACKETT ISD,136901,Brackett ISD
137901,KINGSVILLE ISD,137901,Kingsville ISD
137902,RICARDO ISD,137902,Ricardo ISD
137903,RIVIERA ISD,137903,Riviera ISD
137904,SANTA GERTRUDIS ISD,137904,Santa Gertrudis ISD
138902,KNOX CITY-O'BRIEN CISD,138902,Knox City-O'Brien CISD
138903,MUNDAY CISD,138903,Munday CISD
138904,BENJAMIN ISD,138904,Benjamin ISD
139905,CHISUM ISD,139905,Chisum ISD
139908,ROXTON ISD,139908,Roxton ISD
139909,PARIS ISD,139909,Paris ISD
139911,NORTH LAMAR ISD,139911,North Lamar ISD
139912,PRAIRILAND ISD,139912,Prairiland ISD
140901,AMHERST ISD,140901,Amherst ISD
140904,LITTLEFIELD ISD,140904,Littlefield ISD
140905,OLTON ISD,140905,Olton ISD
140907,SPRINGLAKE-EARTH ISD,140907,Springlake-Earth ISD
140908,SUDAN ISD,140908,Sudan ISD
141901,LAMPASAS ISD,141901,Lampasas ISD
141902,LOMETA ISD,141902,Lometa ISD
142901,COTULLA ISD,142901,Cotulla ISD
143901,HALLETTSVILLE ISD,143901,Hallettsville ISD
143902,MOULTON ISD,143902,Moulton ISD
143903,SHINER ISD,143903,Shiner ISD
143904,VYSEHRAD ISD,143904,Vysehrad ISD
143905,SWEET HOME ISD,143905,Sweet Home ISD
143906,EZZELL ISD,143906,Ezzell ISD
144901,GIDDINGS ISD,144901,Giddings ISD
144902,LEXINGTON ISD,144902,Lexington ISD
144903,DIME BOX ISD,144903,Dime Box ISD
145901,BUFFALO ISD,145901,Buffalo ISD
145902,CENTERVILLE ISD,145902,Centerville ISD
145906,NORMANGEE ISD,145906,Normangee ISD
145907,OAKWOOD ISD,145907,Oakwood ISD
145911,LEON ISD,145911,Leon ISD
146901,CLEVELAND ISD,146901,Cleveland ISD
146902,DAYTON ISD,146902,Dayton ISD
146903,DEVERS ISD,146903,Devers ISD
146904,HARDIN ISD,146904,Hardin ISD
146905,HULL-DAISETTA ISD,146905,Hull-Daisetta ISD
146906,LIBERTY ISD,146906,Liberty ISD
146907,TARKINGTON ISD,146907,Tarkington ISD
147901,COOLIDGE ISD,147901,Coolidge ISD
147902,GROESBECK ISD,147902,Groesbeck ISD
147903,MEXIA ISD,147903,Mexia ISD
148901,BOOKER ISD,148901,Booker ISD
148902,FOLLETT ISD,148902,Follett ISD
148903,HIGGINS ISD,148903,Higgins ISD
148905,DARROUZETT ISD,148905,Darrouzett ISD
149901,GEORGE WEST ISD,149901,George West ISD
149902,THREE RIVERS ISD,149902,Three Rivers ISD
150901,LLANO ISD,150901,Llano ISD
152802,RISE ACADEMY,152802,Rise Academy (C)
152803,SOUTH PLAINS ACADEMY CHARTER DISTR,152803,South Plains (C)
152805,HARMONY SCIENCE ACAD (LUBBOCK),152805,Harmony Science Academy (Lubbock) (C)
152901,LUBBOCK ISD,152901,Lubbock ISD
152902,NEW DEAL ISD,152902,New Deal ISD
152903,SLATON ISD,152903,Slaton ISD
152906,LUBBOCK-COOPER ISD,152906,Lubbock-Cooper ISD
152907,FRENSHIP ISD,152907,Frenship ISD
152908,ROOSEVELT ISD,152908,Roosevelt ISD
152909,SHALLOWATER ISD,152909,Shallowater ISD
152910,IDALOU ISD,152910,Idalou ISD
153903,O'DONNELL ISD,153903,O'Donnell ISD
153904,TAHOKA ISD,153904,Tahoka ISD
153905,NEW HOME ISD,153905,New Home ISD
153907,WILSON ISD,153907,Wilson ISD
154901,MADISONVILLE CISD,154901,Madisonville CISD
154903,NORTH ZULCH ISD,154903,North Zulch ISD
155901,JEFFERSON ISD,155901,Jefferson ISD
156902,STANTON ISD,156902,Stanton ISD
156905,GRADY ISD,156905,Grady ISD
157901,MASON ISD,157901,Mason ISD
158901,BAY CITY ISD,158901,Bay City ISD
158902,TIDEHAVEN ISD,158902,Tidehaven ISD
158904,MATAGORDA ISD,158904,Matagorda ISD
158905,PALACIOS ISD,158905,Palacios ISD
158906,VAN VLECK ISD,158906,Van Vleck ISD
159901,EAGLE PASS ISD,159901,Eagle Pass ISD
160901,BRADY ISD,160901,Brady ISD
160904,ROCHELLE ISD,160904,Rochelle ISD
160905,LOHN ISD,160905,Lohn ISD
161801,WACO CHARTER SCHOOL,161801,Waco Charter School (C)
161802,RAPOPORT ACADEMY PUBLIC SCHOOL,161802,Rapoport Academy Public School (C)
161807,HARMONY SCIENCE ACAD (WACO),161807,Harmony Science Academy (Waco) (C)
161901,CRAWFORD ISD,161901,Crawford ISD
161903,MIDWAY ISD,161903,Midway ISD
161906,LA VEGA ISD,161906,La Vega ISD
161907,LORENA ISD,161907,Lorena ISD
161908,MART ISD,161908,Mart ISD
161909,MCGREGOR ISD,161909,McGregor ISD
161910,MOODY ISD,161910,Moody ISD
161912,RIESEL ISD,161912,Riesel ISD
161914,WACO ISD,161914,Waco ISD
161916,WEST ISD,161916,West ISD
161918,AXTELL ISD,161918,Axtell ISD
161919,BRUCEVILLE-EDDY ISD,161919,Bruceville-Eddy ISD
161920,CHINA SPRING ISD,161920,China Spring ISD
161921,CONNALLY ISD,161921,Connally ISD
161922,ROBINSON ISD,161922,Robinson ISD
161923,BOSQUEVILLE ISD,161923,Bosqueville ISD
161924,HALLSBURG ISD,161924,Hallsburg ISD
161925,GHOLSON ISD,161925,Gholson ISD
162904,MCMULLEN COUNTY ISD,162904,McMullen County ISD
163901,DEVINE ISD,163901,Devine ISD
163902,D'HANIS ISD,163902,D'Hanis ISD
163903,NATALIA ISD,163903,Natalia ISD
163904,HONDO ISD,163904,Hondo ISD
163908,MEDINA VALLEY ISD,163908,Medina Valley ISD
164901,MENARD ISD,164901,Menard ISD
165802,MIDLAND ACADEMY CHARTER SCHOOL,165802,Midland Academy Charter School (C)
165901,MIDLAND ISD,165901,Midland ISD
165902,GREENWOOD ISD,165902,Greenwood ISD
166901,CAMERON ISD,166901,Cameron ISD
166902,GAUSE ISD,166902,Gause ISD
166903,MILANO ISD,166903,Milano ISD
166904,ROCKDALE ISD,166904,Rockdale ISD
166905,THORNDALE ISD,166905,Thorndale ISD
166907,BUCKHOLTS ISD,166907,Buckholts ISD
167901,GOLDTHWAITE ISD,167901,Goldthwaite ISD
167902,MULLIN ISD,167902,Mullin ISD
167903,STAR ISD,167903,Star ISD
167904,PRIDDY ISD,167904,Priddy ISD
168901,COLORADO ISD,168901,Colorado ISD
168902,LORAINE ISD,168902,Loraine ISD
168903,WESTBROOK ISD,168903,Westbrook ISD
169901,BOWIE ISD,169901,Bowie ISD
169902,NOCONA ISD,169902,Nocona ISD
169906,GOLD BURG ISD,169906,Gold Burg ISD
169908,MONTAGUE ISD,169908,Montague ISD
