REGION,RPETALLC,RPETSPEC,RPETLEPC,RPETECOC,RPETNEDC,RPETGIFC,RPETVOCC,RPETBILC,RPETRSKC,RPETDSLC,RPET504C,RPETGEEC,RPETGPKC,RPETGKNC,RPETG01C,RPETG02C,RPETG03C,RPETG04C,RPETG05C,RPETG06C,RPETG07C,RPETG08C,RPETG09C,RPETG10C,RPETG11C,RPETG12C,RPETHISC,RPETBLAC,RPETWHIC,RPETINDC,RPETASIC,RPETPCIC,RPETTWOC,RAUND18C,RAUND18D,RAUND18R,RPETDISD,RPETDISC,RPETDISP,RPETSIMC,RPETSINC,RPETSPHC,RPETSBHC,RPETSAUC,RPETSNOC,RPETSINP,RPETSPHP,RPETSBHP,RPETSAUP,RPETSNOP,RPERRAKR,RPERRA1R,RPERRA2R,RPERRA3R,RPERRA4R,RPERRA5R,RPERRA6R,RPERRA7R,RPERRA8R,RPERRA9R,RPERSAKR,RPERSA1R,RPERSA2R,RPERSA3R,RPERSA4R,RPERSA5R,RPERSA6R,RPERSA7R,RPERSA8R,RPERSA9R,RPETWHIP,RPETBLAP,RPETHISP,RPETINDP,RPETASIP,RPETPCIP,RPETTWOP,RPETECOP,RPETNEDP,RPETRSKP,RPETLEPP,RPETSPEP,RPETVOCP,RPETBILP,RPETGIFP,RPETDSLP,RPET504P,RPETGEEP,RPETGPKP,RPETGKNP,RPETG01P,RPETG02P,RPETG03P,RPETG04P,RPETG05P,RPETG06P,RPETG07P,RPETG08P,RPETG09P,RPETG10P,RPETG11P,RPETG12P,RPSTTOFC,RPSUTOFC,RPSSTOFC,RPSCTOFC,RPSETOFC,RPSTTOST,RPSUTOST,RPSSTOST,RPSCTOST,RPST00FC,RPST01FC,RPST06FC,RPST11FC,RPST20FC,RPST00ST,RPST01ST,RPST06ST,RPST11ST,RPST20ST,RPSTNOFC,RPSTBAFC,RPSTMSFC,RPSTPHFC,RPSPCOFC,RPSECOFC,RPSPTOFC,RPSRTOPC,RPSRTOFC,RPSBTOPC,RPSBTOFC,RPSXTOFC,RPSATOFC,RPSOTOFC,RPSTINFC,RPSTPIFC,RPSTASFC,RPSTBLFC,RPSTHIFC,RPSTWHFC,RPSTTWFC,RPSTMAFC,RPSTFEFC,RPSXCOFC,RPSTREFC,RPSTVOFC,RPSTBIFC,RPSTCOFC,RPSTGIFC,RPSTSPFC,RPSTOPFC,RPSTURNN,RPSTURND,RPSTURNR,RPSTFTEC,RPSTTENA,RPSTEXPA,RPSAMIFC,RPSTEXPT,RPSTTENT,RPCTSOCS,RPCTSOCC,RPCTSCIS,RPCTSCIC,RPCTMATS,RPCTMATC,RPCTG06S,RPCTG06C,RPCTG05S,RPCTG05C,RPCTG04S,RPCTG04C,RPCTG03S,RPCTG03C,RPCTG02S,RPCTG02C,RPCTG01S,RPCTG01C,RPCTGMES,RPCTGMEC,RPCTGKGS,RPCTGKGC,RPCTFLAS,RPCTFLAC,RPCTENGS,RPCTENGC,RPCTSOCA,RPCTSCIA,RPCTMATA,RPCTGMEA,RPCTGKGA,RPCTG06A,RPCTG05A,RPCTG04A,RPCTG03A,RPCTG02A,RPCTG01A,RPCTFLAA,RPCTENGA,RPSPTOFP,RPSTTOFP,RPSUTOFP,RPSSTOFP,RPSCTOFP,RPSETOFP,RPSXTOFP,RPSAMIFP,RPSTNOFP,RPSTBAFP,RPSTMSFP,RPSTPHFP,RPST00FP,RPST01FP,RPST06FP,RPST11FP,RPST20FP,RPSTREFP,RPSTVOFP,RPSTBIFP,RPSTCOFP,RPSTGIFP,RPSTSPFP,RPSTOPFP,RPSTBLFP,RPSTWHFP,RPSTHIFP,RPSTPIFP,RPSTINFP,RPSTASFP,RPSTTWFP,RPSTMAFP,RPSTFEFP,RPSTKIDR,RPST00SA,RPST01SA,RPST06SA,RPST11SA,RPST20SA,RPSTTOSA,RPSUTOSA,RPSSTOSA,RPSCTOSA,RPSHEXPA,RPSHTENA,RPSLEXPA,RPSLTENA,RPSHEXPT,RPSHTENT,RPSLEXPT,RPSLTENT,RPSHFTEC,RPSLFTEC,RPFEIERP,RPSAINHP,RA0GR18N,RA0GM18N,RA0GH18N,RA0GE18N,RA0GA18N,RA0GN18N,RB0GR18N,RH0GR18N,RW0GR18N,RI0GR18N,R30GR18N,R40GR18N,R20GR18N,RE0GR18N,RS0GR18N,RL0GR18N,RR0GR18N,RA0GH18P,RA0GN18P,RA0GE18P,RA0GA18P,RA0GR18R,RB0GR18R,RH0GR18R,RW0GR18R,RI0GR18R,R30GR18R,R40GR18R,R20GR18R,RE0GR18R,RS0GR18R,RL0GR18R,RR0GR18R,RA0GM18P
"01",435491,37082,160970,372257,63234,37000,121934,162663,271833,10055,22920,458,30706,28863,30573,30547,29684,31139,31167,32644,32110,32141,35131,32118,29677,28533,422868,2376,7486,185,1874,76,626,659,200012,0.3,448624,6142,1.4,37082,17612,6398,7731,4825,516,47.5,17.3,20.8,13,1.4,1.3,4.9,3.2,1.4,0.6,0.3,0.6,0.8,0.5,7.9,3.8,8.6,3,0.9,0.6,0.6,0.7,1.1,1.1,13.5,1.7,0.5,97.1,0,0.4,0,0.1,85.5,14.5,62.4,37,8.5,28,37.4,8.5,2.3,5.3,0.1,7.1,6.6,7,7,6.8,7.2,7.2,7.5,7.4,7.4,8.1,7.4,6.8,6.6,27807.5,5831.9,1748.1,665.3,6763.7,1516185271.4,382848690.7,140154352.9,65988181.3,1405.7,6362.4,5226.7,9708.1,5104.6,66592637.3,314385612.2,269575415.2,539472156.1,326159450.7,972,21560.5,5214.6,60.4,24.8,3.5,36052.7,54,1254,18,467,20672.7,63489,3640,19,10,202.9,194.9,25310.3,2024.9,45.5,8174.8,19632.7,67.1,18975.1,1610,3238,397.7,1016.5,2160.8,409.4,2727,27883.1,9.8,31966.4,9.7,12.2,60093.1,388670.3,310090.8,176528,9362,180353,9833,179510,10361,23279.2,1198.9,17339.9,843.6,17305.1,883.5,15869.2,832.1,16722.5,891.7,15683.1,817.1,33927.7,1156.9,16003.9,813.5,76827,4155,229650,13944,18.9,18.3,17.3,29.3,19.7,19.4,20.6,19.6,19.1,18.8,19.2,18.5,16.5,56.8,43.8,9.2,2.8,1,10.7,32.6,94.7,3.5,77.5,18.8,0.2,5.1,22.9,18.8,34.9,18.4,68.2,5.8,11.6,1.4,3.7,7.8,1.5,0.7,7.3,91,0,0.1,0.7,0.2,29.4,70.6,15.7,47373,49413,51577,55569,63895,54524,65648,80176,99191,7.2,6.7,5.7,5.3,4205,3899,6912,6454,582,1223,60.4,58.7,28319,418,626,876,23985,2414,58,27581,458,10,177,3,32,23383,1891,3899,13781,2.2,8.5,3.1,84.7,100,0.2,97.4,1.6,0,0.6,0,0.1,82.6,6.7,13.8,48.7,1.5
"02",102826,10136,4856,68439,34387,5284,26258,4530,51091,3614,7254,195,4308,7122,7323,7366,7484,7805,8050,7851,7953,7818,8180,7382,7106,6883,77596,2386,20160,175,1248,85,1176,129,48492,0.3,109387,2392,2.2,10136,4198,2338,2153,1316,131,41.4,23.1,21.2,13,1.3,1.8,4.5,2.4,1.2,0.7,0.4,0.8,1,0.6,7.1,6.2,6.5,3.3,1.1,0.7,0.5,0.8,1.2,0.9,11.1,19.6,2.3,75.5,0.2,1.2,0.1,1.1,66.6,33.4,49.7,4.7,9.9,25.5,4.4,5.1,3.5,7.1,0.2,4.2,6.9,7.1,7.2,7.3,7.6,7.8,7.6,7.7,7.6,8,7.2,6.9,6.7,6802.6,1200.8,444.4,220.3,1719.5,350392757.1,70749951.1,32667960.3,20527445.6,392.6,1739.4,1207.9,2048.7,1413.9,17603550.5,81292431.4,58940846.5,109202639.2,83353289.5,123.2,4909.9,1731.5,38.1,11.8,5.5,8668.1,33,271,13,97,3784.2,14171.7,12.8,24,9,43.4,150.7,3463.6,3070.8,41,1593.7,5208.9,3.5,5309,327.1,44.8,253.2,104.1,594.6,169.7,1144.2,6938.6,16.5,7462,8.2,12.5,9186.9,93603.4,61394.6,43464,2438,45261,2540,44789,2575,5621.2,294.1,7075.1,345.5,6819.1,365.2,6724.1,363.5,6597.7,346.6,6490.1,350.3,677.3,20.2,6291.9,337.5,17275,940,54177,3462,17.8,17.8,17.4,33.6,18.6,19.1,20.5,18.7,18.5,19,18.5,18.4,15.6,61.2,48,8.5,3.1,1.6,12.1,26.7,64.8,1.8,72.2,25.5,0.6,5.8,25.6,17.8,30.1,20.8,78,4.8,0.7,3.7,1.5,8.7,2.5,2.2,45.1,50.9,0.1,0.4,0.6,0.6,23.4,76.6,15.1,44834,46735,48795,53303,58954,51509,58919,73502,93196,7.8,6.6,5.7,4.8,1654,1393,1320,1120,211,231,57.8,62.9,7110,84,33,478,5197,1318,187,5184,1543,16,81,9,90,4438,574,129,3295,0.5,18.5,6.7,73.1,100,2.6,72.9,21.7,0.2,1.1,0.1,1.3,62.4,8.1,1.8,46.3,1.2
"03",53079,5522,4607,34313,18766,2757,15136,4467,24383,1673,3840,151,2417,3661,3728,3679,3877,3956,4231,4172,3963,3894,4210,3931,3739,3470,30615,4235,16674,90,616,20,829,125,26692,0.5,56648,1195,2.1,5522,2822,1007,1056,445,192,51.1,18.2,19.1,8.1,3.5,3.1,4.9,2.3,1.2,0.3,0.3,0.8,0.6,0.6,7.5,14.9,3.5,2.1,1.6,0.2,0.4,0.4,0.5,0.7,10.6,31.4,8,57.7,0.2,1.2,0,1.6,64.6,35.4,45.9,8.7,10.4,28.5,8.4,5.2,3.2,7.2,0.3,4.6,6.9,7,6.9,7.3,7.5,8,7.9,7.5,7.3,7.9,7.4,7,6.5,3888.9,595.6,230.9,124.2,1167.5,191318234.6,34150414.7,16853925.3,11506794.2,250.6,1023.9,621.7,1096.1,896.6,10737322.7,45140463.8,28675062.8,55839123,50926262.2,47.3,3225.1,594,22.5,33.4,6,4839.6,32,123,11,31,2150.7,8157.7,4.3,5.4,1,13,156,659.7,3035.8,18,867.8,3021.1,26.1,2969.7,247.9,53.3,155.4,47.5,314.2,100.9,695.9,3925.6,17.7,4420.6,7.8,12.7,2976.3,55956.3,34435.4,22401,1338,23169,1394,23525,1541,3116.6,167.5,3720.7,191.6,3320.1,184.4,3307.6,183.3,3179.6,178.7,3171.5,177.1,0,0,3311.2,181.4,8596,494,28771,1944,16.7,16.6,15.3,3,18.3,18.6,19.4,18,18,17.8,17.9,17.4,14.8,59.3,47.7,7.3,2.8,1.5,14.3,26.4,36.5,1.2,82.9,15.3,0.6,6.4,26.3,16,28.2,23.1,76.4,6.4,1.4,4,1.2,8.1,2.6,4,78.1,17,0,0.1,0.3,0.5,22.3,77.7,13.6,42848,44088,46126,50944,56797,49196,57342,72980,92651,6.7,5.7,5.4,4.4,909,774,617,507,135,114,59.5,64.8,3448,17,5,115,2757,554,293,1757,1310,9,35,2,42,1819,276,70,1393,0.1,16.1,3.3,80,100,8.5,51,38,0.3,1,0.1,1.2,52.8,8,2,40.4,0.5
"04",1198344,105165,269407,732013,466331,97373,304583,268116,634402,32838,56034,3834,49875,81085,85581,86862,89207,92916,92037,92426,89570,89044,96317,88875,82909,77806,608890,220197,251520,5236,86113,1519,24869,834,554321,0.2,1254278,14107,1.1,105165,43353,20912,21580,17332,1988,41.2,19.9,20.5,16.5,1.9,1,3.5,2.3,1.5,0.7,0.3,0.5,0.6,0.4,7.1,4.1,5.4,2.5,0.8,0.6,0.4,0.5,0.6,0.6,12.5,21,18.4,50.8,0.4,7.2,0.1,2.1,61.1,38.9,52.9,22.5,8.8,25.4,22.4,8.1,2.7,4.7,0.3,4.2,6.8,7.1,7.2,7.4,7.8,7.7,7.7,7.5,7.4,8,7.4,6.9,6.5,74755.2,16876.6,4196.9,1433.9,14160.6,4313878738.6,1146899949.6,356963783.1,161231120.8,5127.4,23205.1,14730.8,21400.5,10291.4,262119869.9,1254947563.1,834836491.1,1273528798.3,688446016.2,1099.5,54286,18605.8,763.8,29.9,5,97262.6,170,2333,92,806,43510.7,154933.9,1454.5,245.2,203,2518.4,15852.9,15751.8,39178.2,1005.6,16985.6,57769.6,13.4,52047.4,3224.6,5898.1,1460.5,2363.4,6956.7,2804.5,11930.6,74793.2,16,78871.1,7,10.5,87927.3,829968.1,551872.4,500328,24492,516957,26171,526464,27959,63842.9,3035.3,76776,3443.5,74654.6,3701.4,69990.8,3531.3,66575.7,3431.9,65709.1,3410.2,11154.6,374.3,66819.1,3429.5,208778,10202,586727,33204,20.4,19.8,18.8,29.8,19.5,21,22.3,20.2,19.8,19.4,19.3,20.5,17.7,62.8,48.2,10.9,2.7,0.9,9.1,28.1,56.8,1.5,72.6,24.9,1,6.9,31,19.7,28.6,13.8,69.6,4.3,7.9,2,3.2,9.3,3.8,21.2,52.4,21.1,0.3,0.3,3.4,1.3,22.7,77.3,16,51122,54081,56673,59509,66895,57707,67958,85055,112438,6.5,5.8,6,5.4,9316,8310,15852,14158,1437,2641,63.6,63.2,76784,1442,548,4690,59192,10912,14381,36096,18557,272,6087,92,1299,35545,5037,4513,34577,0.7,14.2,6.1,77.1,100,18.7,47,24.2,0.4,7.9,0.1,1.7,46.3,6.6,5.9,45,1.9
"05",83703,8141,7965,52884,30819,4687,22820,7632,41619,3405,7081,289,4081,6212,6254,6090,6339,6499,6453,6369,6221,6064,6326,5794,5475,5237,18738,21002,39483,513,1839,51,2077,126,37999,0.3,87874,1462,1.7,8141,3471,1893,1549,1041,187,42.6,23.3,19,12.8,2.3,2.8,5.3,2.8,1.7,0.6,0.5,0.7,0.9,0.6,5.9,7.2,8.6,2.2,2.2,1.1,1,1.1,0.7,0.3,7,47.2,25.1,22.4,0.6,2.2,0.1,2.5,63.2,36.8,49.7,9.5,9.7,27.3,9.1,5.6,4.1,8.5,0.3,4.9,7.4,7.5,7.3,7.6,7.8,7.7,7.6,7.4,7.2,7.6,6.9,6.5,6.3,5752.4,891.9,391.3,174.4,1456,277880707,51351424,27641743.4,16388809.2,511.6,1548.9,911.2,1501.8,1278.9,18436737.3,67678263.2,41916749.9,75152226.7,74696729.9,122.6,4594.6,1014.3,20.9,55.9,3.6,7210.1,24,182,24,55,2934.6,11600.6,96,20.5,3,48.1,937.4,342.1,4360.2,41,1176,4576.3,15.1,4369.9,370.5,117.6,194.5,55.6,500.4,143.8,1049.5,5765,18.2,6171.7,8.2,12.3,3753.1,75812.9,50331.9,32757,1821,34217,1927,35154,2149,4377.6,220.9,5001.6,253.8,5067.2,275.1,5254.5,281.8,5069.4,277.3,5065,264,38.5,2.5,5231.3,276,11459,646,40023,2535,18,17.8,16.4,15.2,19,19.8,19.7,18.4,18.6,18.3,19.2,17.7,15.8,62.2,49.6,7.7,3.4,1.5,12.6,25.3,32.4,2.1,79.9,17.6,0.4,8.9,26.9,15.8,26.1,22.2,76,6.4,2,3.4,1,8.7,2.5,16.3,75.8,5.9,0.1,0.4,0.8,0.7,20.4,79.6,14.6,36034,43695,46003,50042,58408,48307,57573,70632,93964,5.9,5,4.9,4.3,932,781,864,763,157,178,57.1,64.5,5320,53,288,724,3457,798,1287,1010,2742,15,164,3,99,2807,444,126,2145,5.4,15,13.6,65,100,24.2,19,51.5,0.3,3.1,0.1,1.9,52.8,8.3,2.4,40.3,1
"06",200539,18190,29202,106811,93728,14245,54421,29754,89829,8419,16025,492,6961,13718,14380,14316,14834,15545,15640,15626,15262,15301,16279,15131,13967,13087,73653,21387,94003,836,5091,251,5318,138,93587,0.1,210101,3144,1.5,18190,7808,3906,3836,2329,311,42.9,21.5,21.1,12.8,1.7,2,3.1,1.7,0.8,0.5,0.5,0.3,0.3,0.3,6,7.7,5.8,2.1,1,0.2,0.3,0.3,0.5,0.3,12.3,46.9,10.7,36.7,0.4,2.5,0.1,2.7,53.3,46.7,44.8,14.6,9.1,27.1,14.8,7.1,4.2,8,0.2,3.5,6.8,7.2,7.1,7.4,7.8,7.8,7.8,7.6,7.6,8.1,7.5,7,6.5,13328.9,2449.2,780.6,308,2840.5,708258896.4,156155262,61080901.7,31630146.6,1045.7,3778.4,2539,3771.8,2194.1,49320458.7,185526426.9,131804479.3,207779891.9,133827639.6,105,10350.3,2785.4,88.2,62.9,1,16866.7,50,398,22,108,6963.8,26671,29.2,43.2,8.7,99,745.6,1629.2,10706,97.2,2834.4,10494.4,18.2,9295.8,775.5,789,339.2,112.1,1408,609.2,2342.8,13110.2,17.9,14026.1,6.5,11.2,7566.5,156487.2,90812.5,84652,4291,87350,4588,85314,4729,12290.5,575,12566,610.1,12759.4,684,12264.4,666.5,11792.3,636.4,11782.4,631.9,804.9,27.3,11328.3,611.8,33557,1809,97634,5807,19.7,19,18,29.5,18.5,21.4,20.6,18.7,18.4,18.5,18.6,18.6,16.8,63.2,50,9.2,2.9,1.2,10.7,26.1,28.4,0.8,77.7,20.9,0.7,7.8,28.3,19,28.3,16.5,69.7,5.8,5.9,2.5,0.8,10.6,4.6,5.6,80.3,12.2,0.1,0.3,0.7,0.7,21.3,78.7,15,47166,49102,51912,55088,60995,53137,63757,78251,102700,6,5.1,5.9,5,1909,1604,2508,2126,317,426,63.2,63.8,12948,206,48,486,10821,1387,1305,4153,6770,67,344,16,293,4928,934,481,4591,0.4,10.7,3.8,83.6,100,10.1,32.1,52.3,0.5,2.7,0.1,2.3,38.1,7.2,3.7,35.5,1.6
"07",173472,17178,21514,110183,63289,11020,50158,21517,86685,8486,14213,369,7578,11998,12453,12217,12521,12812,13158,13552,13258,13440,13688,12898,12215,11315,50244,28528,86282,621,1628,107,6062,243,77561,0.3,177603,3230,1.8,17178,7568,3873,3531,1899,307,44.1,22.5,20.6,11.1,1.8,3.1,5.1,2.6,1.4,0.5,0.8,0.5,0.5,0.5,4,9.5,9.6,3.8,1.6,0.7,1.2,0.4,0.7,1.2,5.4,49.7,16.4,29,0.4,0.9,0.1,3.5,63.5,36.5,50,12.4,9.9,28.9,12.4,6.4,4.9,8.2,0.2,4.4,6.9,7.2,7,7.2,7.4,7.6,7.8,7.6,7.7,7.9,7.4,7,6.5,12431.8,2123.2,832.8,446,3072.2,572006403.5,111852941.8,58248494.3,41543254.3,838.6,3251.4,2238.8,3491.4,2611.6,30820697.3,130448390,97647093,169728868.6,143361354.6,203.1,9779.6,2412.3,36.7,150.3,36.3,15833.7,37,387,39,106,5890.3,24796.1,31.9,45.3,9,42.2,1089.7,811.7,10329.5,104.3,2721.4,9710.3,40.5,8955.3,844,522.2,661.3,132.3,970.9,345.7,2451.6,12403.8,19.8,13617.3,6.8,12.3,6253.3,167021.6,93271.3,67913,4091,73015,4409,72862,4719,10223.1,547.6,10705.8,544.3,10278.1,556.2,10177.8,562.5,9901.2,544.7,10039,548.7,1100.3,55.8,10196.1,558.1,25132,1625,82759,5684,16.6,16.6,15.4,19.7,18.3,18.7,19.7,18.5,18.1,18.2,18.3,15.5,14.6,63.9,50.1,8.6,3.4,1.8,12.4,23.8,25.2,1.6,78.7,19.4,0.3,6.7,26.2,18,28.1,21,72,6.8,4.2,5.3,1.1,7.8,2.8,8.8,83.1,6.5,0.1,0.4,0.3,0.8,21.9,78.1,14,36753,40121,43616,48613,54894,46012,52682,69944,93154,6.1,5,4.2,3.5,2426,1985,1574,1313,396,379,56.5,65,11005,114,39,552,8835,1465,1877,2782,5886,48,127,8,277,5433,964,352,4262,0.4,13.3,5,80.3,100,17.1,25.3,53.5,0.4,1.2,0.1,2.5,49.4,8.8,3.2,38.7,1
"08",56029,6237,6036,37001,19028,3787,15543,6172,27298,3462,5702,193,3432,4065,4102,3932,3988,4118,4262,4244,4081,4106,4285,3873,3751,3597,12112,10984,29630,308,435,42,2518,82,25456,0.3,59068,972,1.6,6237,3006,1456,1043,632,100,48.2,23.3,16.7,10.1,1.6,4.8,5.1,1.7,1,0.2,0.7,0.4,0.6,0.3,4.6,12.6,10.7,1.6,0.6,0.2,0.4,1.3,0.6,0,6.6,52.9,19.6,21.6,0.5,0.8,0.1,4.5,66,34,48.7,10.8,11.1,27.7,11,6.8,6.2,10.2,0.3,6.1,7.3,7.3,7,7.1,7.3,7.6,7.6,7.3,7.3,7.6,6.9,6.7,6.4,4506.8,632.2,303.8,148.5,1267.9,200883193,33959162.5,20677294.8,13456737,255.5,1086.2,794.5,1344.7,1025.8,9144954.3,40912974.8,32901874.2,63645006.4,54278383.3,37.7,3515.5,943.9,9.7,34.6,0.9,5591.2,25,120,5,21,1994.6,8853.8,43.6,15.6,1,11.9,339.9,231.9,3871,35.4,940.4,3566.4,19.7,3179.2,329.7,131.8,322.7,35.1,322.5,185.7,835.1,4527.1,18.4,4919,7.9,12.9,2026.8,63565.6,39014.7,22970,1428,23452,1531,23647,1615,3519.6,192.4,3793.1,205.9,3666,209.8,3505.2,194.5,3435.8,192.5,3556.5,196.4,243.2,11.8,3667.8,198.4,8265,545,27681,2032,16.1,15.3,14.6,20.6,18.5,18.3,18.4,17.5,18,17.8,18.1,15.2,13.6,63.2,50.9,7.1,3.4,1.7,14.3,22.5,22.9,0.8,78,20.9,0.2,5.7,24.1,17.6,29.8,22.8,70.5,7.3,2.9,7.2,0.8,7.2,4.1,7.5,85.9,5.1,0,0.3,0.3,0.8,20.9,79.1,12.4,35791,37666,41411,47329,52912,44574,53720,68055,90639,5.5,4.6,4.9,4.6,834,693,683,630,151,138,61.2,66.6,3625,15,4,227,2682,697,705,703,2085,20,35,1,76,1732,370,127,1237,0.1,19.2,6.3,74,100,19.4,19.4,57.5,0.6,1,0,2.1,47.8,10.2,3.5,34.1,0.4
"09",37414,4454,2386,22337,15077,1978,10664,2303,17730,2077,3587,119,2006,2693,2756,2667,2708,2861,2852,2827,2773,2716,2724,2637,2627,2448,10645,2617,21543,222,571,35,1781,82,17171,0.5,39883,654,1.6,4454,1842,1007,975,498,132,41.4,22.6,21.9,11.2,3,3,2.9,1.3,0.7,0.5,1,0.5,0.5,0.6,1.4,6.3,3.7,2,0.8,1.1,0.3,0.6,0.6,2.1,2.5,57.6,7,28.5,0.6,1.5,0.1,4.8,59.7,40.3,47.4,6.4,11.9,28.5,6.2,5.3,5.6,9.6,0.3,5.4,7.2,7.4,7.1,7.2,7.6,7.6,7.6,7.4,7.3,7.3,7,7,6.5,2919.8,414.9,195.8,86.8,730.5,135324913.7,22563260.1,13251141.6,8468620.3,151,734.4,523.1,866.4,644.9,5628493.7,29582158.9,22365395.3,42156742.4,35592123.3,22.8,2328.7,560.8,7.5,51.4,0,3617.3,18,96,15,22,1125.2,5473,7.7,15.9,1,16.6,79.9,169.5,2615.4,21.5,685.9,2233.9,15.1,2200.3,186.5,32.5,183.1,7.3,228.5,81.6,581.6,2966.7,19.6,3331.1,8.1,12.7,836.5,42315.3,27012,15477,1095,16344,1069,16057,1150,2060.7,118.1,2425.4,144,2449.3,144.2,2266,137.3,2389.5,144.6,2482,144.3,421.1,12.7,2608.6,147.7,6368,408,20182,1450,14.1,15.3,14,33.3,17.7,17.5,16.8,17,16.5,16.5,17.2,15.6,13.9,66.1,53.3,7.6,3.6,1.6,13.3,20.6,15.3,0.8,79.8,19.2,0.3,5.2,25.2,17.9,29.7,22.1,75.4,6.4,1.1,6.3,0.2,7.8,2.8,2.7,89.6,5.8,0,0.5,0.6,0.7,23.5,76.5,12.8,37263,40281,42757,48659,55191,46347,54377,67674,97620,5.3,4.3,4.6,4.1,592,474,328,292,111,72,61.7,70,2436,21,2,66,1949,398,187,637,1474,23,38,4,73,1079,266,49,906,0.1,16.3,2.7,80,100,7.7,26.1,60.5,0.9,1.6,0.2,3,44.3,10.9,2,37.2,0.9
