REGION,RPETALLC,RPETSPEC,RPETLEPC,RPETECOC,RPETNEDC,RPETGIFC,RPETVOCC,RPETBILC,RPETRSKC,RPETDSLC,RPET504C,RPETGEEC,RPETGPKC,RPETGKNC,RPETG01C,RPETG02C,RPETG03C,RPETG04C,RPETG05C,RPETG06C,RPETG07C,RPETG08C,RPETG09C,RPETG10C,RPETG11C,RPETG12C,RPETHISC,RPETBLAC,RPETWHIC,RPETINDC,RPETASIC,RPETPCIC,RPETTWOC,RAUND18C,RAUND18D,RAUND18R,RPETDISD,RPETDISC,RPETDISP,RPETSIMC,RPETSINC,RPETSPHC,RPETSBHC,RPETSAUC,RPETSNOC,RPETSINP,RPETSPHP,RPETSBHP,RPETSAUP,RPETSNOP,RPERRAKR,RPERRA1R,RPERRA2R,RPERRA3R,RPERRA4R,RPERRA5R,RPERRA6R,RPERRA7R,RPERRA8R,RPERRA9R,RPERSAKR,RPERSA1R,RPERSA2R,RPERSA3R,RPERSA4R,RPERSA5R,RPERSA6R,RPERSA7R,RPERSA8R,RPERSA9R,RPETWHIP,RPETBLAP,RPETHISP,RPETINDP,RPETASIP,RPETPCIP,RPETTWOP,RPETECOP,RPETNEDP,RPETRSKP,RPETLEPP,RPETSPEP,RPETVOCP,RPETBILP,RPETGIFP,RPETDSLP,RPET504P,RPETGEEP,RPETGPKP,RPETGKNP,RPETG01P,RPETG02P,RPETG03P,RPETG04P,RPETG05P,RPETG06P,RPETG07P,RPETG08P,RPETG09P,RPETG10P,RPETG11P,RPETG12P,RPSTTOFC,RPSUTOFC,RPSSTOFC,RPSCTOFC,RPSETOFC,RPSTTOST,RPSUTOST,RPSSTOST,RPSCTOST,RPST00FC,RPST01FC,RPST06FC,RPST11FC,RPST20FC,RPST00ST,RPST01ST,RPST06ST,RPST11ST,RPST20ST,RPSTNOFC,RPSTBAFC,RPSTMSFC,RPSTPHFC,RPSPCOFC,RPSECOFC,RPSPTOFC,RPSRTOPC,RPSRTOFC,RPSBTOPC,RPSBTOFC,RPSXTOFC,RPSATOFC,RPSOTOFC,RPSTINFC,RPSTPIFC,RPSTASFC,RPSTBLFC,RPSTHIFC,RPSTWHFC,RPSTTWFC,RPSTMAFC,RPSTFEFC,RPSXCOFC,RPSTREFC,RPSTVOFC,RPSTBIFC,RPSTCOFC,RPSTGIFC,RPSTSPFC,RPSTOPFC,RPSTURNN,RPSTURND,RPSTURNR,RPSTFTEC,RPSTTENA,RPSTEXPA,RPSAMIFC,RPSTEXPT,RPSTTENT,RPCTSOCS,RPCTSOCC,RPCTSCIS,RPCTSCIC,RPCTMATS,RPCTMATC,RPCTG06S,RPCTG06C,RPCTG05S,RPCTG05C,RPCTG04S,RPCTG04C,RPCTG03S,RPCTG03C,RPCTG02S,RPCTG02C,RPCTG01S,RPCTG01C,RPCTGMES,RPCTGMEC,RPCTGKGS,RPCTGKGC,RPCTFLAS,RPCTFLAC,RPCTENGS,RPCTENGC,RPCTSOCA,RPCTSCIA,RPCTMATA,RPCTGMEA,RPCTGKGA,RPCTG06A,RPCTG05A,RPCTG04A,RPCTG03A,RPCTG02A,RPCTG01A,RPCTFLAA,RPCTENGA,RPSPTOFP,RPSTTOFP,RPSUTOFP,RPSSTOFP,RPSCTOFP,RPSETOFP,RPSXTOFP,RPSAMIFP,RPSTNOFP,RPSTBAFP,RPSTMSFP,RPSTPHFP,RPST00FP,RPST01FP,RPST06FP,RPST11FP,RPST20FP,RPSTREFP,RPSTVOFP,RPSTBIFP,RPSTCOFP,RPSTGIFP,RPSTSPFP,RPSTOPFP,RPSTBLFP,RPSTWHFP,RPSTHIFP,RPSTPIFP,RPSTINFP,RPSTASFP,RPSTTWFP,RPSTMAFP,RPSTFEFP,RPSTKIDR,RPST00SA,RPST01SA,RPST06SA,RPST11SA,RPST20SA,RPSTTOSA,RPSUTOSA,RPSSTOSA,RPSCTOSA,RPSHEXPA,RPSHTENA,RPSLEXPA,RPSLTENA,RPSHEXPT,RPSHTENT,RPSLEXPT,RPSLTENT,RPSHFTEC,RPSLFTEC,RPFEIERP,RPSAINHP,RA0GR18N,RA0GM18N,RA0GH18N,RA0GE18N,RA0GA18N,RA0GN18N,RB0GR18N,RH0GR18N,RW0GR18N,RI0GR18N,R30GR18N,R40GR18N,R20GR18N,RE0GR18N,RS0GR18N,RL0GR18N,RR0GR18N,RA0GH18P,RA0GN18P,RA0GE18P,RA0GA18P,RA0GR18R,RB0GR18R,RH0GR18R,RW0GR18R,RI0GR18R,R30GR18R,R40GR18R,R20GR18R,RE0GR18R,RS0GR18R,RL0GR18R,RR0GR18R,RA0GM18P
"10",872877,83999,203397,495776,377101,86646,223117,208954,406400,33986,56933,2651,35512,60333,62148,62477,63892,66897,68175,68188,66076,65321,70151,64617,60334,56105,377208,160997,235168,5342,69363,922,23877,1641,406513,0.4,906192,9988,1.1,83999,31594,20211,17400,14074,720,37.6,24.1,20.7,16.8,0.9,1.5,1.9,1.1,0.7,0.4,0.5,0.3,0.5,0.4,7,5.6,3.5,1.8,0.7,0.4,0.6,0.5,0.5,0.8,12.4,26.9,18.4,43.2,0.6,7.9,0.1,2.7,56.8,43.2,46.6,23.3,9.6,25.6,23.9,9.9,3.9,6.5,0.3,4.1,6.9,7.1,7.2,7.3,7.7,7.8,7.8,7.6,7.5,8,7.4,6.9,6.4,57398.3,11827.1,3774,1403.2,10597.6,3210496653.1,782023119.2,303435065.8,150064680.1,4742.6,18703.8,10823,16119.1,7009.8,237354757.3,988344617,599635172.5,938246850.2,446915256.2,688.3,40135.3,16068.1,506.5,65.5,9.5,74402.6,106,2072,69,791,24358.4,109358.6,460.4,329.8,250.8,1447.9,9688.2,9539.8,35227.8,914.1,13813.5,43584.7,18.6,41218.2,2504.8,3356.8,1246.4,1051.6,5605.5,2414.9,10396.2,56619.9,18.4,60900.5,6.2,10,49799,608527.8,379854.8,367078,18069,380766,19006,374810,19813,44714.9,2091.2,57335.8,2735,55581.2,2933.6,52575.5,2799.7,51132.8,2744.1,51628.5,2744.2,6522.8,254.2,50348.4,2681.3,169520,8529,421905,24217,20.3,20,18.9,25.7,18.8,21.4,21,18.9,18.8,18.6,18.8,19.9,17.4,68,52.5,10.8,3.5,1.3,9.7,22.3,45.5,1.2,69.9,28,0.9,8.3,32.6,18.9,28.1,12.2,71.8,4.4,5.8,2.2,1.8,9.8,4.2,16.9,61.4,16.6,0.4,0.6,2.5,1.6,24.1,75.9,15.2,50047,52842,55404,58207,63756,55934,66121,80402,106941,5.7,5,4.9,4.2,7429,6548,9803,8432,1308,2019,64.6,67.3,55378,1165,879,2214,43240,7880,10241,22310,17355,284,3886,77,1225,25212,4156,4324,20234,1.6,14.2,4,78.1,100,18.5,40.3,31.3,0.5,7,0.1,2.2,45.5,7.5,7.8,36.5,2.1
"11",591762,56406,100560,310621,281141,54666,158906,101825,268943,22986,43063,1584,21163,40457,41058,41431,42624,44477,45738,45235,45011,44645,49363,45857,42532,40587,215640,89095,234138,2473,29743,1737,18936,565,288434,0.2,623531,7966,1.3,56406,23199,13105,11789,7673,640,41.1,23.2,20.9,13.6,1.1,2,1.9,1,0.6,0.3,0.4,0.2,0.4,0.3,7.8,7.5,4.1,1.7,0.7,0.5,0.5,0.3,0.5,0.6,13.6,39.6,15.1,36.4,0.4,5,0.3,3.2,52.5,47.5,45.4,17,9.5,26.9,17.2,9.2,3.9,7.3,0.3,3.6,6.8,6.9,7,7.2,7.5,7.7,7.6,7.6,7.5,8.3,7.7,7.2,6.9,39954.5,7970,2257.9,800.3,7065.7,2276822263.7,529397073.7,184942968.8,87653350.8,2107.5,11403.8,7873.6,12330.5,6239,105362594.5,607717709.6,435800030.5,721366731.5,406575197.6,396.1,28792.4,10449.5,316.4,118.9,44.1,50982.6,96,1476,68,556,16287.8,74336.1,27.2,169.4,32,510.9,3632.8,5262,29836.3,511,9140.7,30813.7,42.5,28337.4,1806.2,2517.2,980.2,892,3608.4,1813.1,6094.2,39446.5,15.4,43289.6,7,11.3,24166.1,488461,304929.4,250589,11705,254332,12680,251220,13116,33193.4,1564.3,35998,1710.2,35404.1,1875.7,33862,1825,33300.8,1806.6,32678.3,1765.6,5514.7,189.4,35593.5,1924.3,104711,5568,283188,15558,21.4,20.1,19.2,29.1,18.5,21.2,21,18.9,18.6,18.4,18.5,18.8,18.2,68.6,53.7,10.7,3,1.1,9.5,21.9,32.5,1,72.1,26.2,0.8,5.3,28.5,19.7,30.9,15.6,70.9,4.5,6.3,2.5,2.2,9,4.5,9.1,74.7,13.2,0.1,0.4,1.3,1.3,22.9,77.1,14.8,49993,53291,55349,58503,65167,56985,66424,81910,109526,6.8,5.8,5.4,4.8,6363,5436,7373,6552,941,1359,64.3,67.7,40396,587,262,3116,30164,6267,5720,13446,17685,185,2151,110,1099,15224,2896,2213,15276,0.6,15.5,7.7,74.7,100,14.2,33.3,43.8,0.5,5.3,0.3,2.7,37.7,7.2,5.5,37.8,1.5
"12",175857,19058,18797,104670,71187,11085,45266,18159,84078,8718,16376,387,9261,12868,13177,12912,13070,13416,13368,13612,13103,12918,13496,12280,11203,10786,61272,34673,66011,698,3533,1509,8161,165,80563,0.2,186808,3291,1.8,19058,8435,4016,4282,1987,338,44.3,21.1,22.5,10.4,1.8,1.8,4.3,2.3,1.4,0.8,0.8,0.4,0.8,0.5,7.5,7.1,9.3,4,1.4,0.9,1.4,0.8,0.7,1.2,14.3,37.5,19.7,34.8,0.4,2,0.9,4.6,59.5,40.5,47.8,10.7,10.8,25.7,10.3,6.3,5,9.3,0.2,5.3,7.3,7.5,7.3,7.4,7.6,7.6,7.7,7.5,7.3,7.7,7,6.4,6.1,12286.7,2317,854.9,337.5,3260.5,607486469.7,136737700,61788065.3,31789039.4,1031.3,3937,2215.4,3180,1923,43932196.8,179736002.7,106937250.1,165658831,111222189.1,105.4,9396.5,2713.4,71.3,97,16.6,15796.1,57,430,23,123,6094.3,25150.9,49.7,51.1,15.9,124,1195.8,1322.1,9348.7,229.3,2887.2,9399.5,40.9,9546.2,619.1,292.8,413.2,106.7,991.7,317,2451,12141.4,20.2,13426,6.3,10.6,8263.1,142299.2,84896.6,67670,3817,72301,4180,73291,4600,10403.9,539.1,11154.7,526.7,11034.1,558.6,10727.4,567,10285.3,553.3,10913.2,574.9,1590.2,58.3,10396.4,550.7,31185,1803,81144,5593,17.7,17.3,15.9,27.3,18.9,19.3,21.2,19.8,18.9,18.6,19,17.3,14.5,62.8,48.9,9.2,3.4,1.3,13,24.2,32.9,0.9,76.5,22.1,0.6,8.4,32,18,25.9,15.7,77.7,5,2.4,3.4,0.9,8.1,2.6,9.7,76.1,10.8,0.1,0.4,1,1.9,23.5,76.5,14.3,42600,45653,48270,52094,57837,49443,59015,72276,94193,5.9,5.1,4.7,4.2,2086,1800,2097,1856,355,444,62.4,65.8,10654,227,70,468,8085,1804,2044,3404,4459,50,225,83,389,4762,971,431,4162,0.7,16.9,4.4,75.9,100,19.2,32,41.9,0.5,2.1,0.8,3.7,44.7,9.1,4,39.1,2.1
"13",411880,43870,78069,199238,212642,35594,100658,80498,185379,20352,34466,1489,16486,29337,29599,30206,30319,31259,32492,32024,31417,30886,32848,29955,27652,25911,197499,33031,143895,1021,22741,457,13236,378,203187,0.2,411707,5134,1.2,43870,19548,9334,8835,5690,463,44.6,21.3,20.1,13,1.1,1.5,1.5,0.8,0.3,0.2,0.2,0.2,0.2,0.3,6.5,4.9,2.6,1.4,0.8,0.2,0.5,0.3,0.3,0.3,12.4,34.9,8,48,0.2,5.5,0.1,3.2,48.4,51.6,45,19,10.7,24.4,19.5,8.6,4.9,8.4,0.4,4,7.1,7.2,7.3,7.4,7.6,7.9,7.8,7.6,7.5,8,7.3,6.7,6.3,27664.4,5857.3,1783.7,543.7,5540.1,1429055522.2,363197049.8,134507664.3,58787404.8,2227.1,8341.9,5541.6,7643,3910.8,106248092.4,405101909.4,279031908,405830385.1,232843227.3,273.7,20647.1,6570.2,173.4,26.8,3,35849.1,135,872,61,366,12480.1,53869.3,88,89.2,79.2,462.2,1612.2,6015.4,19023.3,382.9,6404.8,21259.6,12.7,19414.5,1118.7,1954.6,671.7,446.5,2944.7,1113.6,4618.4,25977,17.8,29343.5,6.3,10.5,22035.1,307180.7,184175.3,171997,8786,180017,9481,182767,10155,20852.1,1012.4,25934.9,1196,24653.5,1299.7,23728.6,1248.8,23725.2,1249.5,23290.8,1220.5,2838.7,208.4,22790.1,1185.2,80400,4169,200054,12078,19.6,19,18,13.6,19.2,20.6,21.7,19,19,19,19.1,19.3,16.6,66.5,51.4,10.9,3.3,1,10.3,23.2,40.9,1,74.6,23.7,0.6,8.1,30.2,20,27.6,14.1,70.2,4,7.1,2.4,1.6,10.6,4,5.8,68.8,21.7,0.3,0.3,1.7,1.4,23.2,76.8,14.9,47707,48562,50352,53098,59538,51657,62007,75411,108120,6.1,4.9,4.6,3.8,3839,3124,4854,4008,633,1052,62.2,65.9,25264,538,94,937,20861,2834,1877,11167,10265,71,1185,27,672,8694,2018,1308,8911,0.4,11.2,3.7,82.6,100,7.4,44.2,40.6,0.3,4.7,0.1,2.7,34.4,8,5.2,35.3,2.1
"14",57493,6144,3523,31349,26144,2670,14292,3515,23752,1940,3525,207,2307,4567,4612,4390,4572,4467,4604,4527,4478,4475,4259,3621,3395,3012,20716,4923,28288,227,1344,66,1929,56,26081,0.2,63058,778,1.2,6144,2946,1554,994,564,86,47.9,25.3,16.2,9.2,1.4,5.3,5.2,2,1.1,0.9,1.2,1.3,1.6,1.6,8.2,14.3,7.4,1.5,0.9,0.9,1.3,1.4,1.3,2.3,15.6,49.2,8.6,36,0.4,2.3,0.1,3.4,54.5,45.5,41.3,6.1,10.7,24.9,6.1,4.6,3.4,6.1,0.4,4,7.9,8,7.6,8,7.8,8,7.9,7.8,7.8,7.4,6.3,5.9,5.2,4234.4,729.4,269.9,135.3,1260.8,207726910,36439771.1,19746570.3,11703671.8,362.4,1347.9,681,1015,828,15852353.8,60866755.9,31720810.3,51861204.3,47425785.7,29.3,3403.6,784.7,16.8,77.3,0.8,5369,35,127,6,18,1908.9,8538.6,4.8,10.9,1,38.4,154,456.8,3526.9,46.3,920.3,3314.1,16.6,3320.8,241.9,27.8,230.8,4,327.7,81.4,908.7,4203.6,21.6,4633.1,6.8,11.4,2077.1,52657.8,31669.2,21180,1195,22047,1302,22253,1447,3613.6,192.8,4201,219.3,4072.6,229.9,4130.6,230.2,4048.9,231.3,4187.4,236,852.8,30,4250.8,239.3,8785,523,25281,1758,17.7,16.9,15.4,28.5,17.8,18.7,19.2,17.7,17.9,17.5,17.7,16.8,14.4,62.9,49.6,8.5,3.2,1.6,14.8,22.4,24.3,0.7,80.4,18.5,0.4,8.6,31.8,16.1,24,19.6,78.4,5.7,0.7,5.5,0.1,7.7,1.9,3.6,83.3,10.8,0,0.3,0.9,1.1,21.7,78.3,13.6,43745,45156,46577,51093,57278,49057,49958,73155,86526,5.8,4.6,3.2,2.7,992,776,330,272,170,102,61.8,64.8,3101,37,10,203,2554,297,176,1048,1728,8,58,1,82,1338,293,53,1258,0.3,9.6,6.5,82.4,100,5.7,33.8,55.7,0.3,1.9,0,2.6,43.1,9.4,1.7,40.6,1.2
"15",49554,5083,3647,29616,19938,2820,13608,3568,23917,1781,3649,181,1797,3554,3684,3561,3741,3887,4008,3750,3728,3758,3864,3562,3275,3204,28667,1296,18158,118,380,27,908,5,22864,0,53300,714,1.3,5083,2302,1216,1070,415,80,45.3,23.9,21.1,8.2,1.6,2.7,3.8,1.5,1,1,1.8,0.4,0.7,2,6.1,9.6,5.6,2.1,0.9,0.9,0.5,1,0.2,0.2,11.8,36.6,2.6,57.9,0.2,0.8,0.1,1.8,59.8,40.2,48.3,7.4,10.3,27.5,7.2,5.7,3.6,7.4,0.4,3.6,7.2,7.4,7.2,7.5,7.8,8.1,7.6,7.5,7.6,7.8,7.2,6.6,6.5,3690.3,532,222.9,114.6,966.5,168866037.7,29952040.8,15251102,10724643.4,266.5,978,617.3,1033.9,794.5,9726597,38607746.2,26784680.1,50532102.2,43214912.2,32.3,3002.6,650.2,5.2,49.2,23.8,4559.9,25,132,6,18,1815.5,7341.9,10.6,10,2,13.8,65.4,960.6,2614.7,23.8,840.1,2850.2,16.4,2906.9,233.5,77.5,134.6,18.6,252.6,66.6,729.8,3712.2,19.7,4187.2,7.7,12.4,2942.4,51906.4,32382.4,19386,1199,21385,1307,21615,1407,2859.5,159.4,3650.1,192.2,3432,192.3,3387.4,194.6,3233.9,185.2,3226.3,186.9,121.5,3.3,3239.3,188.5,7698,493,26382,1766,16.2,16.4,15.4,37,17.2,17.9,19,17.8,17.4,17.5,17.3,15.6,14.9,62.1,50.3,7.2,3,1.6,13.2,24.7,40.1,0.9,81.4,17.6,0.1,7.2,26.5,16.7,28,21.5,78.8,6.3,2.1,3.6,0.5,6.8,1.8,1.8,70.9,26,0.1,0.3,0.4,0.6,22.8,77.2,13.4,36491,39476,43387,48875,54393,45759,56297,68416,93589,6.1,4.9,4.4,4,830,659,385,350,135,87,59.2,64,3112,21,32,190,2435,434,61,1735,1238,6,30,1,41,1521,271,92,1214,1,13.9,6.1,78.2,100,2,55.8,39.8,0.2,1,0,1.3,48.9,8.7,3,39,0.7
"16",84577,8974,11441,50757,33820,4261,23236,11303,41408,3509,4822,234,4320,6176,6035,6166,6197,6516,6519,6582,6221,6352,6436,5996,5597,5230,40400,4472,34928,400,2389,75,1913,116,38607,0.3,89484,1408,1.6,8974,3816,2172,2322,559,105,42.5,24.2,25.9,6.2,1.2,3.4,3.2,1.9,1,0.6,0.6,0.3,0.3,0.4,4.3,13.4,7,4.1,1.5,0.5,1,0.3,1,2.5,6.4,41.3,5.3,47.8,0.5,2.8,0.1,2.3,60,40,49,13.5,10.6,27.5,13.4,5,4.1,5.7,0.3,5.1,7.3,7.1,7.3,7.3,7.7,7.7,7.8,7.4,7.5,7.6,7.1,6.6,6.2,6369.6,873.2,354.3,160.5,1610.7,323298419.9,52624817.7,27542460.1,15640495.1,525.9,1672.1,1128.7,1769.1,1273.8,23163863.8,75843464.3,55684311.8,93368393.2,75238386.7,72.1,5234.3,1053.3,9.9,32.3,0,7757.6,49,183,18,65,2861.2,12229.5,12.7,26.5,4,24.5,54.5,822.1,5394.8,43.3,1373.2,4996.5,11.7,4686,385.8,198.2,324.7,9.6,531.9,233.4,1047.6,6455.9,16.2,6882.2,8.1,11.8,3227.2,81535.3,55563,33419,2034,35801,2204,35277,2324,5554,281,5850.2,302.9,5768.1,324.1,5585.9,314.2,5289.6,307.5,5256.4,301.3,33.2,1.8,5724.6,311.3,13447,854,39986,2797,16.4,16.2,15.2,18.8,18.4,19.8,19.3,17.8,17.8,17.2,17.4,15.7,14.3,63.4,52.1,7.1,2.9,1.3,13.2,23.4,26.4,1.1,82.2,16.5,0.2,8.3,26.3,17.7,27.8,20,73.6,6.1,3.1,5.1,0.2,8.4,3.7,0.9,84.7,12.9,0.1,0.4,0.4,0.7,21.6,78.4,13.3,44045,45358,49333,52777,59068,50756,60266,77744,97449,7.4,6.2,5.9,5.5,1631,1353,1008,943,219,172,63.8,67,5266,46,4,202,4213,801,257,2267,2488,27,135,1,91,2248,415,202,2121,0.1,15.2,3.8,80,100,4.9,43,47.2,0.5,2.6,0,1.7,42.7,7.9,3.8,40.3,0.9
"17",84148,8613,5234,53213,30935,4984,25055,5415,39046,3586,5161,206,4116,5994,6119,6052,6411,6624,6599,6830,6131,6190,6255,5938,5421,5262,49038,5569,26734,240,1049,46,1472,61,37847,0.2,88390,1573,1.8,8613,4553,1755,1380,797,128,52.9,20.4,16,9.3,1.5,3.7,4.2,2.3,1.1,0.7,0.6,0.1,0.3,0.3,3,12.1,6.3,2.9,0.9,0.1,0.7,0.5,0.2,0.9,3.7,31.8,6.6,58.3,0.3,1.2,0.1,1.7,63.2,36.8,46.4,6.2,10.2,29.8,6.4,5.9,4.3,6.1,0.2,4.9,7.1,7.3,7.2,7.6,7.9,7.8,8.1,7.3,7.4,7.4,7.1,6.4,6.3,6408.8,1020.1,395.4,174.2,1734.9,300486123.8,59081566.5,29969848.3,17205199.6,443.8,1754.7,1164.8,1740,1305.5,17179035.8,71881300.8,51534830.4,86014965.3,73875991.5,46.3,4995.2,1334.8,32.6,67.8,11,7998.5,32,216,18,68,2191.3,11924.8,1.6,14.2,3,24,139.4,1101,5049.9,77.4,1521.6,4887.2,14.5,4732.5,399.1,104.4,331.3,24.5,591.6,225.6,1201.7,6415.1,18.7,7186.5,7,12,3957.7,86229.8,50527.7,31649,1867,35156,2177,36028,2343,4844.2,257.1,5983.6,310.8,5825.7,327.6,5718.4,330.8,5523.5,316.9,5610.1,320.7,257.3,6.7,5635.5,316.7,13098,859,42220,2854,17,16.1,15.4,38.4,17.8,18.8,19.3,17.8,17.3,17.4,17.5,15.2,14.8,67.1,53.7,8.6,3.3,1.5,14.5,18.4,33.2,0.7,77.9,20.8,0.5,6.9,27.4,18.2,27.1,20.4,73.8,6.2,1.6,5.2,0.4,9.2,3.5,2.2,78.8,17.2,0,0.2,0.4,1.2,23.7,76.3,13.1,38711,40964,44242,49435,56588,46886,57915,75794,98775,6.8,5.5,4.6,4.2,1478,1198,851,773,217,185,60.6,70.3,5321,92,13,151,4325,740,323,2969,1862,11,66,5,85,2570,495,89,2124,0.2,13.9,2.8,81.3,100,6.1,55.8,35,0.2,1.2,0.1,1.6,48.3,9.3,1.7,39.9,1.7
"18",93208,7400,13227,49550,43658,5784,24209,12928,48230,2966,3030,131,3586,7429,7485,7099,7151,7519,7550,7421,6783,6828,7196,6512,5542,4976,64509,3955,21983,259,1141,127,1234,86,39771,0.2,97121,1714,1.8,7400,3365,2045,1186,676,128,45.5,27.6,16,9.1,1.7,2.6,3,1.9,1.3,0.7,1.3,1.2,1.4,0.8,9.8,6.3,7.2,2.2,1.7,0.4,0.6,1.1,0.4,0.4,13,23.6,4.2,69.2,0.3,1.2,0.1,1.3,53.2,46.8,51.7,14.2,7.9,26,13.9,6.2,3.2,3.3,0.1,3.8,8,8,7.6,7.7,8.1,8.1,8,7.3,7.3,7.7,7,5.9,5.3,5841,964.2,351,153.4,1036.9,301966532.5,58560405.4,26689787.1,15870480.4,680.9,1671.1,976,1435.1,1077.9,28040701.1,79520727.3,49681654.9,79064822.8,65658626.5,143,4419.7,1248.6,29.7,38.7,4.9,7309.6,24,202,11,60,2710.5,11057,1.9,14.8,4,70,211.2,1919,3569.5,52.4,1287.3,4553.7,4.7,4110.4,289.6,483.1,238.4,141.1,431.4,147,1384.8,5878.9,23.6,6491.7,7.3,11.4,5537.5,73803.5,47396.7,35106,2075,35850,2119,36285,2211,5156.8,234.9,6300.4,284.9,6106.6,305.5,5729.2,290.3,5745.9,289.4,5902.4,299.1,51.6,2,5836.3,294.1,14205,843,40471,2584,16.9,16.9,16.4,25.9,19.8,22,22.1,20,19.7,19.9,19.7,16.9,15.7,66.1,52.8,8.7,3.2,1.4,9.4,24.5,50.1,2.4,75.7,21.4,0.5,11.7,28.6,16.7,24.6,18.5,70.4,5,8.3,4.1,2.4,7.4,2.5,3.6,61.1,32.9,0.1,0.3,1.2,0.9,22,78,16,41182,47586,50904,55095,60911,51698,60732,76043,103426,5.4,4.5,4.6,3.9,914,762,871,749,169,191,61.1,64.5,4706,67,41,166,3609,823,202,3056,1314,18,65,5,46,1518,342,219,2118,0.9,17.5,3.5,76.7,100,4.3,64.9,27.9,0.4,1.4,0.1,1,32.3,7.3,4.7,45,1.4
"19",176546,19206,51174,135604,40942,15008,56760,53225,97892,3036,8349,493,8331,11062,11940,11699,12188,12626,13101,13095,13241,13312,15469,14030,13077,12882,159258,3893,9996,312,1154,378,1555,169,86634,0.2,186205,2776,1.5,19206,8702,4913,3435,2026,130,45.3,25.6,17.9,10.5,0.7,0.9,3.3,1.5,1.1,0.6,0.3,0.3,0.2,0.4,10.4,7.4,7.5,3.3,1.1,1.1,0.7,0.2,0.2,0.3,19.7,5.7,2.2,90.2,0.2,0.7,0.2,0.9,76.8,23.2,55.4,29,10.9,32.2,30.1,8.5,1.7,4.7,0.3,4.7,6.3,6.8,6.6,6.9,7.2,7.4,7.4,7.5,7.5,8.8,7.9,7.4,7.3,11500.2,2692.2,671.2,238.7,1820.7,607436535.9,166274196.3,52920374.2,22725646,642.2,2652.1,2216.2,4143.5,1846.2,25938854.1,131293453.1,113505816.7,225414953.2,111283458.8,181.7,8055.7,3191.1,71.6,0,0,15102.4,12,446,14,210,7232,24155.1,8.2,16.7,6.6,78.4,202,9342.6,1787.1,66.8,3388,8112.2,0,8330.8,609,1359.3,49.5,135.2,790.8,225.6,1231.6,11536.1,10.7,12185,9.9,11.9,21246.5,145380.4,120907.8,84783,4325,88064,4513,86839,4764,9040.2,472.3,9154.9,416.1,7126.8,398.8,6593.7,357.6,6214.7,339.4,6399,341.5,335,6,7287.7,416.3,36572,1907,101287,6548,19.6,19.5,18.2,55.8,17.5,19.1,22,17.9,18.4,18.3,18.7,19.2,15.5,62.5,47.6,11.1,2.8,1,7.5,29.9,88,1.6,70,27.7,0.6,5.6,23.1,19.3,36,16.1,72.4,5.3,11.8,0.4,1.2,6.9,2,1.8,15.5,81.2,0.1,0.1,0.7,0.6,29.5,70.5,15.4,40391,49505,51216,54402,60277,52820,61762,78839,95201,5.8,5.4,5.4,5,1456,1337,2314,2134,249,428,63.7,59.9,12545,182,395,276,10972,720,265,11488,618,21,71,14,68,8152,820,1381,5290,3.1,5.7,2.2,87.5,100,2.1,91.6,4.9,0.2,0.6,0.1,0.5,65,6.5,11,42.2,1.5
"20",477601,51050,58584,287180,190421,34712,117767,59555,249933,17185,38410,1459,20567,32241,33560,33821,34830,36466,37384,36612,35336,35724,39972,35564,33405,30660,328061,28733,97989,1086,9995,724,11013,750,211916,0.4,501337,7759,1.5,51050,21286,11007,11457,6595,705,41.7,21.6,22.4,12.9,1.4,1.4,2.8,1.5,1,0.5,0.5,0.5,0.7,0.5,8.8,4.5,4.1,1.7,0.8,0.3,0.6,0.5,0.9,0.7,16.5,20.5,6,68.7,0.2,2.1,0.2,2.3,60.1,39.9,52.3,12.3,10.7,24.7,12.5,7.3,3.6,8,0.3,4.3,6.8,7,7.1,7.3,7.6,7.8,7.7,7.4,7.5,8.4,7.4,7,6.4,30908.3,7049.6,1752.9,600.1,6219.7,1700263527,442510115.7,137717581,62092910.4,1944.4,8570,6104.6,9520.1,4769.3,95045483.5,441600189.3,327677979.8,539384210.3,296555664.1,230.7,21358.9,9133.1,185.6,46.3,13.9,40310.8,83,1113,39,426,16863.6,63394.1,58.6,69.2,32.7,247.4,1373.1,14150.4,14717.7,317.7,7581.3,23326.9,14.2,21980,1359.4,1893.5,959.7,460.4,2916.1,1339.1,4838.2,31137.9,15.5,32579.5,7.4,11.1,38932.1,362473.4,240402.7,204004,11037,204968,11088,204473,11729,24701.5,1252.7,31052.4,1339.7,29268.1,1465.1,27487.7,1405.1,26070.9,1353.1,25923.2,1339.1,416.2,13.7,24705.2,1317.5,86959,4687,242030,15076,18.5,18.5,17.4,30.3,18.8,19.7,23.2,20,19.6,19.3,19.4,18.6,16.1,63.6,48.8,11.1,2.8,0.9,9.8,26.6,61.4,0.7,69.1,29.5,0.6,6.3,27.7,19.8,30.8,15.4,71.1,4.4,6.1,3.1,1.5,9.4,4.3,4.4,47.6,45.8,0.1,0.2,0.8,1,24.5,75.5,15.5,48883,51529,53677,56658,62180,55010,62771,78567,103469,5.9,5,5.2,4.5,4398,3715,5243,4576,749,1012,63.2,62.8,31155,523,145,405,23193,6889,2056,20479,7215,65,629,66,645,14553,2529,1301,15910,0.5,22.1,1.3,74.4,100,6.6,65.7,23.2,0.2,2,0.2,2.1,46.7,8.1,4.2,51.1,1.7
